n,T_num,T_den,reverse_ok
1,14474349931257945339700412698281330959036394636176846551555549810384363134972126535791005434415995826580189366145176603859655402792183629255998416143192539,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
2,27882157861200542439274437696487177086515760456769239929279111254105132518346596196938853122228947907883044140084778409241866695517243779503697209158378108,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
3,41289965791143139538848462694693023213995126277361633307002672697825901901721065858086700810041899989185898914024380214624077988242303929751396002173563677,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
4,54697773721085736638422487692898869341474492097954026684726234141546671285095535519234548497854852070488753687963982020006289280967364079999094795188749246,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
5,68105581651028333737996512691104715468953857918546420062449795585267440668470005180382396185667804151791608461903583825388500573692424230246793588203934815,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
6,81513389580970930837570537689310561596433223739138813440173357028988210051844474841530243873480756233094463235843185630770711866417484380494492381219120384,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
7,94921197510913527937144562687516407723912589559731206817896918472708979435218944502678091561293708314397318009782787436152923159142544530742191174234305953,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
8,108329005440856125036718587685722253851391955380323600195620479916429748818593414163825939249106660395700172783722389241535134451867604680989889967249491522,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
9,121736813370798722136292612683928099978871321200915993573344041360150518201967883824973786936919612477003027557661991046917345744592664831237588760264677091,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
10,135144621300741319235866637682133946106350687021508386951067602803871287585342353486121634624732564558305882331601592852299557037317724981485287553279862660,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
11,148552429230683916335440662680339792233830052842100780328791164247592056968716823147269482312545516639608737105541194657681768330042785131732986346295048229,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
12,161960237160626513435014687678545638361309418662693173706514725691312826352091292808417330000358468720911591879480796463063979622767845281980685139310233798,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
13,175368045090569110534588712676751484488788784483285567084238287135033595735465762469565177688171420802214446653420398268446190915492905432228383932325419367,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
14,188775853020511707634162737674957330616268150303877960461961848578754365118840232130713025375984372883517301427360000073828402208217965582476082725340604936,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
15,202183660950454304733736762673163176743747516124470353839685410022475134502214701791860873063797324964820156201299601879210613500943025732723781518355790505,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
16,215591468880396901833310787671369022871226881945062747217408971466195903885589171453008720751610277046123010975239203684592824793668085882971480311370976074,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
17,228999276810339498932884812669574868998706247765655140595132532909916673268963641114156568439423229127425865749178805489975036086393146033219179104386161643,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
18,242407084740282096032458837667780715126185613586247533972856094353637442652338110775304416127236181208728720523118407295357247379118206183466877897401347212,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
19,255814892670224693132032862665986561253664979406839927350579655797358212035712580436452263815049133290031575297058009100739458671843266333714576690416532781,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
20,269222700600167290231606887664192407381144345227432320728303217241078981419087050097600111502862085371334430070997610906121669964568326483962275483431718350,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
135,1811120612543565956682619762457864712041271414595557559166512783268967460507151061129602595601351574721162729074051818525075968627950243762447636680178058785,1552518092300708935148979488462502555256886017116696611139052038025878194357368142547116732051099868977365799328146258387304206040018767644762034840549025863656023930678476834148764230814382361379566519832398196182872557375130831247,True
