step,action,U,U2,dU,dx,dy,x_block,y_block,y_borrow,x_block_neg,dU_bits,D,D2
1->2,P+G,55066263022277343669578718895168534326250603453777594175500187360389116729240032670510020758816978083085130507043184471273380659243275938904335757337482424,89565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,34499628904269660561674201530767158034393542375844615658184142552908072257356979487889278935013344884723482206355451684094506382384900859967619031034171506,34499628904269660561674201530767158034393542375844615658184142552908072257357,-20512110721064986655115276517793644548315905493617615099140032380968965828494,34499628904269660561674201530767158034393542375844615658184142552908072257356,979487889278935013344884723482206355451684094506382384900859967619031034171506,1,0,514,0.055066263022277343669578718895168534326250603453777594175500187360389116729240032670510020758816978083085130507043184471273380659243275938904335757337482424,0.089565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930
2->3,P+G,89565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,23145768513163601825495738747993980741470831511917198710946283641912586901524013424628680877053368689097264688577770293500367774666893121017005753215025480,23145768513163601825495738747993980741470831511917198710946283641912586901524,13424628680877053368689097264688577770293500367774666893121017005753215025480,23145768513163601825495738747993980741470831511917198710946283641912586901524,13424628680877053368689097264688577770293500367774666893121017005753215025480,0,0,513,0.089565891926547004231252920425935692360644145829622209833684329913297188986597012158399299693830322967808612713398636155367887041628176798871954788371653930,0.112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410
3->4,P+G,112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,-9323086444075525696999494919713074793326142037515807066827518320923280894437988525886835328760678641589246537646856308651326115141400046602532285757869392,-9323086444075525696999494919713074793326142037515807066827518320923280894438,11474113164671239321358410753462353143691348673884858599953397467714242130608,-9323086444075525696999494919713074793326142037515807066827518320923280894438,11474113164671239321358410753462353143691348673884858599953397467714242130608,0,1,512,0.112711660439710606056748659173929673102114977341539408544630613555209775888121025583027980570883691656905877401976406448868254816295069919888960541586679410,0.103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018
4->5,P+G,103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,21505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,-81882744103871432245420108266597361814686701989448394506972709435128418655534939053432466479501779332076127783469421113329605827014864343401507945865229900,-81882744103871432245420108266597361814686701989448394506972709435128418655535,60946567533520498220667923872216530578886670394172985135656598492054134770100,-81882744103871432245420108266597361814686701989448394506972709435128418655535,60946567533520498220667923872216530578886670394172985135656598492054134770100,0,1,515,0.103388573995635080359749164254216598308788835304023601477803095234286494993683037057141145242123013015316630864329550140216928701153669873286428255828810018,0.021505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118
5->6,P+G,21505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,94274746085728984925175702440211092747626511955467099252710576814992852026737980731354837037764978208072041424915742233830374991057631275081563297462980545,94274746085728984925175702440211092747626511955467099252710576814992852026738,-19268645162962235021791927958575084257766169625008942368724918436702537019455,94274746085728984925175702440211092747626511955467099252710576814992852026737,980731354837037764978208072041424915742233830374991057631275081563297462980545,1,0,515,0.021505829891763648114329055987619236494102133314575206970830385799158076338148098003708678762621233683240503080860129026887322874138805529884920309963580118,0.115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663
6->7,P+G,115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,41948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,-73832200685848213434294549234291473888504152650185914131222668627827864402842030373296607949139543747300195989040071170099983478218905502175143089932570045,-73832200685848213434294549234291473888504152650185914131222668627827864402842,-30373296607949139543747300195989040071170099983478218905502175143089932570045,-73832200685848213434294549234291473888504152650185914131222668627827864402843,969626703392050860456252699804010959928829900016521781094497824856910067429955,1,1,515,0.115780575977492633039504758427830329241728645270042306223540962614150928364886078735063515800386211891312544505775871260717697865196436804966483607426560663,0.041948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618
7->8,P+G,41948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,21262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,-20686317985492791651614524103258424075040663132680515714327104739606708015035006611773611625759616766147716901218638093711651239217852768328651037918657494,-20686317985492791651614524103258424075040663132680515714327104739606708015035,-6611773611625759616766147716901218638093711651239217852768328651037918657494,-20686317985492791651614524103258424075040663132680515714327104739606708015036,993388226388374240383233852283098781361906288348760782147231671348962081342506,1,1,513,0.041948375291644419605210209193538855353224492619856392092318293986323063962044048361766907851246668144012348516735800090617714386977531302791340517493990618,0.021262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124
8->9,P+G,21262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,78173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,56911241376726141135128309345747114402554381114193164700755916738977299538621050612883462596317545852932603001642166448637004612796906626211485391856448307,56911241376726141135128309345747114402554381114193164700755916738977299538621,50612883462596317545852932603001642166448637004612796906626211485391856448307,56911241376726141135128309345747114402554381114193164700755916738977299538621,50612883462596317545852932603001642166448637004612796906626211485391856448307,0,0,515,0.021262057306151627953595685090280431278183829487175876377991189246716355947009041749993296225487051377864631615517161996906063147759678534462689479575333124,0.078173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431
9->10,P+G,78173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,72488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,-5684328454497259801301279209452009981845053328305966450955318552840949302519030292253860123360765347261831180900615674654773363530091975252462762807014240,-5684328454497259801301279209452009981845053328305966450955318552840949302519,-30292253860123360765347261831180900615674654773363530091975252462762807014240,-5684328454497259801301279209452009981845053328305966450955318552840949302520,969707746139876639234652738168819099384325345226636469908024747537237192985760,1,1,511,0.078173298682877769088723994436027545680738210601369041078747105985693655485630092362876758821804597230797234617159328445543067760556585160674174871431781431,0.072488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191
10->11,P+G,72488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,53957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059,-18531393565368217681020369885514098565370398865344985274477259089208884215547963684405291373513977450693217165174954429476563890218029598851219575179027132,-18531393565368217681020369885514098565370398865344985274477259089208884215548,36315594708626486022549306782834825045570523436109781970401148780424820972868,-18531393565368217681020369885514098565370398865344985274477259089208884215548,36315594708626486022549306782834825045570523436109781970401148780424820972868,0,1,513,0.072488970228380509287422715226575535698893157273063074627791787432852706183111062070622898698443831883535403436258712770888294397026493185421712108624767191,0.053957576663012291606402345341061437133522758407718089353314528343643821967563098386217607324929854432842186271083758341411730506808463586570492533445740059
