source,d0,q_x,q_d,q_gap_x,q_gap_d,perm_x,perm_d,dx0,dx1,dx2,dd0,dd1,dd2,argmax_dx,argmax_dd,argmin_dx,argmin_dd,ranks_dx,ranks_dd
walk,1,2,1,1,1,012,012,30274016299460456955180710445103740436904394362004711957137520612170797185075,5837356808879445928044392441662731853979370245938921638139564710308724785456,79680716128976292540345882121921435562386220057696930444180498685429312701132,37718080363155996902926221483475020450927657555482586988616620542887997980017,40355928511004201617718542041737866950982249168109730405371922055742165534300,37718080363155996902926221483475020450927657555482586988616620542887997980020,2,1,1,0,102,021
walk,2,2,1,2,2,210,021,114597971419169871614081730716396508552079863314720831883554984435412541484587,81066827568600221195932702332839445080257759209894526929124961428827523429350,35919379486862298037127536968139862074202346806665769266235222151577604429389,75436160726311993805852442966950040901855315110965173977233241085775995960034,80711857022008403235437084083475733901964498336219460810743844111484331068600,75436160726311993805852442966950040901855315110965173977233241085775995960040,0,1,2,0,210,021
walk,3,2,1,2,2,210,021,104142086391238706299364097827836482469440431465842404806799700285672948510821,32541292084971746348880751865977555021124128371899784949796678802568948672310,94900799998421938198897120323561778215975409493538938322318788927575772160195,113154241089467990708778664450425061352782972666447760965849861628663993940051,5275696295696409429584641116525693000109183225254286833510603025708335108563,113154241089467990708778664450425061352782972666447760965849861628663993940060,0,2,1,1,201,102
walk,4,2,1,2,1,102,012,24827225446255076175260587891987543933705736022233331732148486845886683123740,103348184069849388264515271488126748619301960706024788260124076637002487458123,103408768958527926407366110637261523153532272603023008086642604532928498761463,35080232215307792188133900925212173950873065942855443571861319030033830425731,45631624806700611047303183158263559951091432393364017238882525081450500642863,35080232215307792188133900925212173950873065942855443571861319030033830425743,2,1,0,0,012,021
walk,5,1,1,1,2,012,021,1780019656262522112383467901000323140375873152462665237466216642089637594756,47714560249500206855816881243829552090211838416989612652033993326255330467707,66297509331553466455370635863858032622682273096188286149957374039563866609200,72798312578463789091060122408687194401800723498338030560477939572921828405748,85987553317704812665021725200001426902073681561473747644254447137192666177163,72798312578463789091060122408687194401800723498338030560477939572921828405763,2,1,0,0,012,021
walk,6,2,1,2,2,210,021,104149133137043662930151433664328888124617188715044445450465418384606499571486,23320451980015752139037782431290775291929610087987010625734195427878389120685,104114593357572975777952753921756152289993170528249672002715554203332780651155,110516392941619785993986343892162214852728381053820617549094560115809826385765,10551392591392818859169282233051386000218366450508573667021206051416670217126,110516392941619785993986343892162214852728381053820617549094560115809826385783,0,2,1,1,201,102
walk,7,1,1,2,1,102,012,82865997412836815542938909873648770796996607341861014358705192673151474908935,55799147011341696369204507698149615906143261453630487124007484718454362310987,92919034050453878934998552445577429003400100535789626596202490624211832123404,32442384067459587473341580366949327450818474330228300155106017517179662871445,50907321102397020476887824274789252951200615618618304072393128107158835751426,32442384067459587473341580366949327450818474330228300155106017517179662871466,2,1,1,0,102,021
walk,8,1,1,1,2,012,021,11154982955636080840720191977021172169648066598949445904179435361016445969010,29695951407589149881343545783804269679422363006214043097125145545726874892616,74941154874090964701507247247862466004199555060477075038153003101165513810037,70160464430615584376267801850424347901746131885710887143722638060067660851462,91263249613401222094606366316527119902182864786728034477765050162901001285726,70160464430615584376267801850424347901746131885710887143722638060067660851486,2,1,0,0,012,021
walk,9,2,1,2,2,102,021,98999085286002420405569950652905853291864886382682667429309915811428023757251,30650290328626633616972055420857287787135534093089798062969186451698324715260,101934802860003336824599963943612674627539548855508662586636065752691320870815,107878544793771581279194023333899368352673789441193474132339258602955658831479,15827088887089228288753923349577079000327549675762860500531809077125005325689,107878544793771581279194023333899368352673789441193474132339258602955658831506,2,2,1,1,102,102
walk,10,1,1,1,1,120,012,60855244221676501631490961250389556083678365462212718037378494192554933269137,8198868583454055145462886845558004295773751253307032160240401340058518927382,46737976432185638646617136912740347473817867950120813841838688475295382475144,29804535919611382758549259808686480950763882717601156738350716004325495317159,56183017398093429906472465391314945951309798843872590905903731132867170859989,29804535919611382758549259808686480950763882717601156738350716004325495317189,0,1,1,0,201,021
walk,11,1,1,2,2,210,021,98904425898896822490536522385761529616595045805331188205058211270831630225483,103486775162434261894003859240044260779321571828745611687770328459040612332997,29192977413301306462601588391570025310623351697204328186086628285945426784846,67522616282767379661475481292161501401691540273083743726967336547213493297176,96538945909097631524191007433052812902292048011982321311275653188609336394289,67522616282767379661475481292161501401691540273083743726967336547213493297209,1,1,2,0,120,021
walk,12,2,1,1,2,120,021,83352819624899023387092209592292468969444395808977241892852927146892735982010,14128938922746089094533200995056158861016468210628873648821130670903294354490,18310330689671082941945574421339280022809120646034448497783526190112804335163,105240696645923376564401702775636521852619197828566330715583957090101491277193,21102785182785637718338564466102772000436732901017147334042412102833340434252,105240696645923376564401702775636521852619197828566330715583957090101491277229,0,2,1,1,201,102
walk,13,2,1,2,1,210,012,115237109149465216710523090465038155995967549608715569204049266795160400779263,19389129893082406692164055923275736210397264045360431213298850038833355959541,96957939432084767444454823629061923500175155677205127661567051181823912604522,27166687771763178043756939250423634450709291104974013321595414491471327762873,61458713693789839336057106507840638951418982069126877739414334158575505968552,27166687771763178043756939250423634450709291104974013321595414491471327762912,0,1,1,0,201,021
