family,label,d,d_net,x,y,xn,yn,dX_num,dX_den,dF_num,dF_den,primary_rule,X_fixed,F_fixed,F_reflect,X_beta
add_+1,1->+1,1,2,55066263022277343669578718895168534326250603453777594175500187360389116729240,32670510020758816978083085130507043184471273380659243275938904335757337482424,89565891926547004231252920425935692360644145829622209833684329913297188986597,12158399299693830322967808612713398636155367887041628176798871954788371653930,34499628904269660561674201530767158034393542375844615658184142552908072257357,115792089237316195423570985008687907853269984665640564039457584007908834671663,-20512110721064986655115276517793644548315905493617615099140032380968965828494,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,2->+1,2,3,89565891926547004231252920425935692360644145829622209833684329913297188986597,12158399299693830322967808612713398636155367887041628176798871954788371653930,112711660439710606056748659173929673102114977341539408544630613555209775888121,25583027980570883691656905877401976406448868254816295069919888960541586679410,23145768513163601825495738747993980741470831511917198710946283641912586901524,115792089237316195423570985008687907853269984665640564039457584007908834671663,13424628680877053368689097264688577770293500367774666893121017005753215025480,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,3->+1,3,4,112711660439710606056748659173929673102114977341539408544630613555209775888121,25583027980570883691656905877401976406448868254816295069919888960541586679410,103388573995635080359749164254216598308788835304023601477803095234286494993683,37057141145242123013015316630864329550140216928701153669873286428255828810018,-9323086444075525696999494919713074793326142037515807066827518320923280894438,115792089237316195423570985008687907853269984665640564039457584007908834671663,11474113164671239321358410753462353143691348673884858599953397467714242130608,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,4->+1,4,5,103388573995635080359749164254216598308788835304023601477803095234286494993683,37057141145242123013015316630864329550140216928701153669873286428255828810018,21505829891763648114329055987619236494102133314575206970830385799158076338148,98003708678762621233683240503080860129026887322874138805529884920309963580118,-81882744103871432245420108266597361814686701989448394506972709435128418655535,115792089237316195423570985008687907853269984665640564039457584007908834671663,60946567533520498220667923872216530578886670394172985135656598492054134770100,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,5->+1,5,6,21505829891763648114329055987619236494102133314575206970830385799158076338148,98003708678762621233683240503080860129026887322874138805529884920309963580118,115780575977492633039504758427830329241728645270042306223540962614150928364886,78735063515800386211891312544505775871260717697865196436804966483607426560663,94274746085728984925175702440211092747626511955467099252710576814992852026738,115792089237316195423570985008687907853269984665640564039457584007908834671663,-19268645162962235021791927958575084257766169625008942368724918436702537019455,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,6->+1,6,7,115780575977492633039504758427830329241728645270042306223540962614150928364886,78735063515800386211891312544505775871260717697865196436804966483607426560663,41948375291644419605210209193538855353224492619856392092318293986323063962044,48361766907851246668144012348516735800090617714386977531302791340517493990618,-73832200685848213434294549234291473888504152650185914131222668627827864402842,115792089237316195423570985008687907853269984665640564039457584007908834671663,-30373296607949139543747300195989040071170099983478218905502175143089932570045,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,7->+1,7,8,41948375291644419605210209193538855353224492619856392092318293986323063962044,48361766907851246668144012348516735800090617714386977531302791340517493990618,21262057306151627953595685090280431278183829487175876377991189246716355947009,41749993296225487051377864631615517161996906063147759678534462689479575333124,-20686317985492791651614524103258424075040663132680515714327104739606708015035,115792089237316195423570985008687907853269984665640564039457584007908834671663,-6611773611625759616766147716901218638093711651239217852768328651037918657494,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,8->+1,8,9,21262057306151627953595685090280431278183829487175876377991189246716355947009,41749993296225487051377864631615517161996906063147759678534462689479575333124,78173298682877769088723994436027545680738210601369041078747105985693655485630,92362876758821804597230797234617159328445543067760556585160674174871431781431,56911241376726141135128309345747114402554381114193164700755916738977299538621,115792089237316195423570985008687907853269984665640564039457584007908834671663,50612883462596317545852932603001642166448637004612796906626211485391856448307,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,9->+1,9,10,78173298682877769088723994436027545680738210601369041078747105985693655485630,92362876758821804597230797234617159328445543067760556585160674174871431781431,72488970228380509287422715226575535698893157273063074627791787432852706183111,62070622898698443831883535403436258712770888294397026493185421712108624767191,-5684328454497259801301279209452009981845053328305966450955318552840949302519,115792089237316195423570985008687907853269984665640564039457584007908834671663,-30292253860123360765347261831180900615674654773363530091975252462762807014240,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
add_+1,10->+1,10,11,72488970228380509287422715226575535698893157273063074627791787432852706183111,62070622898698443831883535403436258712770888294397026493185421712108624767191,53957576663012291606402345341061437133522758407718089353314528343643821967563,98386217607324929854432842186271083758341411730506808463586570492533445740059,-18531393565368217681020369885514098565370398865344985274477259089208884215548,115792089237316195423570985008687907853269984665640564039457584007908834671663,36315594708626486022549306782834825045570523436109781970401148780424820972868,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,none,False,False,False,False
