n,Phi_trunc_156,x,y
1,0.475561529159551572470709345884621936100985485829132436550464858155768637484948207099828506631441898832019256820875428694573342539094874985122282636430258328,55066263022277343669578718895168534326250603453777594175500187360389116729240,32670510020758816978083085130507043184471273380659243275938904335757337482424
2,0.773506139465032624781795628183077831966827734699802272478342626659114690981578803425529332495233785636656552169627050613442690733400557510246417606287523761,89565891926547004231252920425935692360644145829622209833684329913297188986597,12158399299693830322967808612713398636155367887041628176798871954788371653930
3,0.973396897681911219874187479164064370527739225341089540308236126418910194056434798769185005885149815534871068998350300876839250866270924559700152781533302982,112711660439710606056748659173929673102114977341539408544630613555209775888121,25583027980570883691656905877401976406448868254816295069919888960541586679410
4,0.892881151697158883398010694976707350839391116800826982650861488084325187665464843774349426364990724329662528274777678041499346331550375013085815548492122073,103388573995635080359749164254216598308788835304023601477803095234286494993683,37057141145242123013015316630864329550140216928701153669873286428255828810018
5,0.185727971862459381384803864017652885277573094273796249683030263358959688932391289670701134445281341170932202236972687608568727015503027178144671828451828143,21505829891763648114329055987619236494102133314575206970830385799158076338148,98003708678762621233683240503080860129026887322874138805529884920309963580118
6,0.999900569547545118325135408879985635590189926257714631088624966168819282158747193868588362374863328890045863315907236878103630860573957083738615163010319786,115780575977492633039504758427830329241728645270042306223540962614150928364886,78735063515800386211891312544505775871260717697865196436804966483607426560663
7,0.362273239631000289425727378580545974174493600017426021792629067243388265731024404039021754996428687772470035064639795416864041323770714100633891839969616240,41948375291644419605210209193538855353224492619856392092318293986323063962044,48361766907851246668144012348516735800090617714386977531302791340517493990618
8,0.183622710724002784432124690902779585679549799804520186859146846942513299663074517108663358557978668655170305037068910019120906807536341381527521281884081802,21262057306151627953595685090280431278183829487175876377991189246716355947009,41749993296225487051377864631615517161996906063147759678534462689479575333124
9,0.675117783933074954221908950212219026849163032638887367582279957776811442562933764095838720611612129288740117741021409841932077005652138862924504683069036343,78173298682877769088723994436027545680738210601369041078747105985693655485630,92362876758821804597230797234617159328445543067760556585160674174871431781431
10,0.626026965277517116520787320469648512980257087480953708387821568253868381890234967864425431959668302129170977955373731573014776281660863908443577373548193120,72488970228380509287422715226575535698893157273063074627791787432852706183111,62070622898698443831883535403436258712770888294397026493185421712108624767191
11,0.465986726886204587464395929019833017411049892639818931223748109510136839540151019987577132526831341051912923997654305590774329908586643255088558649081238364,53957576663012291606402345341061437133522758407718089353314528343643821967563,98386217607324929854432842186271083758341411730506808463586570492533445740059
12,0.812760700770835371822842796028797706926627074886743741161050571516722160068839340620689555294803691367071650685290681722428450750269318161309312809770293914,94111259592240215275188773285036844871058226277992966241101117022315524122714,76870767327212528811304566602812752860184934880685532702451763239157141742375
13,0.947379336424508119246758953894590928522751648145729810668827626195983633001612432486583365949432313640590490932264126160756609305052363746409400763664667600,109699032664856045668214896063362497021339186688470416858630178803463338613416,4835088675770141268294878046681321747490758260515711581034896622314066275713
14,0.287595726208900415349932308038290333583748936941327658287089641197779056862703365077098190953667229464699271799236657310483375837306144463941510470325106107,33301309993451753050311554695703528430361259803437469669590207169100761277412,91711666877231500617203373035680263572492971120307578300405368749466283229019
15,0.842076141268321678824901106746950295832836542486489692295101075744481563427796779092387220926519758063425122609757906928700447436936454069409978412856334228,97505755694356382817881959832717013755620551362654128955029190924747025549326,39856815248295663243990443767776362321337592747889787217974905533720651000664
16,0.898678694784047920749779982206244837816232885268996923668632855297245437842775397785135889365313640026578276621449075417962550080387050012017852346630914152,104059883622109321374094289636044428849728529177856482232626205340719788190730,112122903140080327253741791678230372394936108416576609264408917599318947489825
17,0.871061939014365784125842996700422857528066558942881524463029614613703176172438049096158955469201345613864150222052908762214927721482507249318572256235174138,100862081773581120499222301212791081193994281440454033593790618293887747050036,29883864782608871580821802176208615141762369223249393426421538275393411672951
18,0.335957947351286417162451577135935180244029950012996804929828062728143901312425757655761073910733485429261152361563076585708753322384528134516033912777330754,38901272619685732968285380035171577070479117282397203902622597987558769928140,87393127487643849618870152207476122589010570440825041333620493866032028851544
19,0.169168511310673838934495865555683151798987364652484929580306439185259489108841368562093597916288876373034567152379604483613117619459605747135334324365673939,19588375357829479297593261744848590434972900972071148260168833594658324503404,60568592333449737531184420002591396163903580402725242236305558432410218044282
20,0.300309764554354920733823903112281218636803876927010772585737031228740999783431953500185657330460201953533280245960878866278535037154094836930315828103728594,34773495056115281091786765947597603724784643419904767525769502836017890139287,8470533044743364938367028725608288731153024648869546164814808839694950063162
21,0.207698779716214231532586182895129518964716185657870912377650994773187063968942752531850411704110078521674980426770499744988065965252915779610830087075574548,24049875635381557237058143631624836741422505207761609709712554171343558302165,22669890352939653242079781319904043788036611953081321775127194249638113810828
22,0.258291231848546927005708223126436110010703251625004759293964921440202538049239298293018177170088706581874525913553474038943436270211562407617671571859495627,29908081367423272746086114569421970207888665320998202915346633185016778189308,19705544727792599099830884487151299095417296550955739824847212341657057716097
23,0.186066645527918754575465565808822920864919912812058627971841483143232711735135251903754406631265279778599369449533514235756895112782052203507724401759714547,21545045623056848826483343441081830815719530893582365358444562918095175994431,1296978981679745807043951140304019026881137717020402959957988455650813508967
24,0.993938696862859680656340686192104766268208791260181254788338032755618742047820568225329050957567775869456818347503767120487759687868080915291490345971323774,115090238283566018960826468250608273126387416636633736439689841211757211870926,47185183227829754668635270747409548752084785367264057948864458978444304762303
25,0.571413493491223924888762616844115207791912552580830563867010515595174494094612970408053832208036016238342279586330781676526607510875102633958054417609995742,66165162229742397718677620062386824252848999675912518712054484685772795754260,52018513869565587577673992057861898728543589604141463438466108080111932355586
26,0.400509697783778170036476984489952296364316398810389586003224322483070566170981481524865238944747969396136291883239486758271974891220944132403944315770586462,46375854666189782329411331467438732923135312366454677774518044107217916677258,28872066516664221627799718496556756366588329842312456769228220433104069963108
27,0.855183551993522238978090141889951809631933456896137025556892568369934987525781780456940034762300394869464390379278519598299808395209471726732316108113231224,99023490166718961467148584643029653267652245207820783364668071358307234645801,75362751621984629832705305750958516370071248757681753180287377123479199292501
28,0.335623254933251547461369524862657251765252405973731807103352894228572785347117934562782554527643196049375374332395398899790182658195255210526695564797430453,38862517885349586199469132990077977525522399615397327331631717567532241615208,56796032415390392137148811074183321813766115156763923072036584114852967736264
29,0.766801045980505707491758368177018884016736502253704051724301872519439957732388224392053832794493448563880384810667302729298025050248739824416859238275967161,88789495143442116025801984763830218317601484092281216301053684219001740388315,14971629676138079947354454610178388572791590863859394042797260533911845233794
30,0.426437876796825971145449478213584654672838049788210569507270545170205347370220868195380990810037081535614528784628463495203886966782782541767123092660450247,49378132684229722274313556995573891527709373183446262831552359577455015004672,78123232289538034746933569305416412888858560602643272431489024958214987548923
31,0.414617297905726614730219988894559011738854651676211340040711660577797801576291237798774215844928409625705782538653530116691220417034863725121247544528812796,48009403158434809478298710137233764200988036438868259456275038304221065242292,101379581344212856035375194820281365028426536613141130008386086305632315345538
32,0.824243178430796893619785296881333861611852567864860863859319353382281666187152975169374915205320037450946347109380071345876023236711334331216569324034809326,95440839670107969455973995843666399663662641812074432045896568980475242364517,67400892360194400039319989411395972789004161889863182881857158544061243615929
33,0.088256815213405200794002707048472092093582299976637625349348700603278884291100852278540577053819657134056389242942569725836768952527015684545139916778179038,10219441022991940610048493520113102240595005085840974180672104038719657072293,84023467742492607926612431243360899514584580916128500081114886405247779677078
34,0.108986517882439487668515397299898074669535661999058815299652338520012551593837883950181643607991589333935937284058355498641438490900252911245760073397757211,12619776604307790469550660645393525758448419897555601226868753617320214526993,86272100689574882152938150858861318820088413186167100601966648021512258522745
35,0.376401603594336519394072758984853798233149862658172300676363353872105365730824883028251111782104606231498084652625614074305703547972735458146453795904099583,43584328072464330665967763306297595761508151294385275883849271528835646125177,1171731419844835688478928898148416329180259014376715189840427072871218252873
36,0.875872431835470466096143624635037219704470073490345201603720738506932869104911719828766708601734805464945470294695243916044458498994977491128083736403632329,101419098787597942766661010883841213675986572091206578880178916574081925093625,53748097764673089702489673031527129553025318704228137363806494938199580582828
37,0.386006216345154297238751570437908567578625425610193956057875406490355679967595786018162723954851926156907204908914784278847031732065902757341621546569911089,44696466249196887777481833878429299174322536392992392205634510941844339159869,58341336599715296255997469230977942456412351469447624645098110293822755987119
38,0.713281813643420648985780899687732704420133453689688771643528493850009822815389445233322146096341798445635269520185110963055250255471184248642351259890883605,82592391416753704330480457266605199466589998476548643675167586509583694299127,96352244311289141626709213538144106127822954871227876742730890119647945927428
39,0.503021884713288456522020562253234262332809459211580695981832578107165480990913195728066382513584892689618333651393490637569597153242808945653228044052441447,58245954963044076335222193032419637688317373475605757277584156718458924469103,12764036181290433088658499435961200322530176588733628912045896254235383420282
40,0.569796527669023570814656737807552949357075306255247548229029024489053100722414026098082516843858070605839548993930130045537805668106365786123039173065042651,65977930378964483966842705159007630837451149704819265634327747226133817150731,106574384264472205627876631445935175739834375489227447805380155393950263965849
41,0.478812556103916893850496661440011449064645105181804483643121153392339179413091926754593096603792673452800928334736688490158021590632234573569162877453511117,55442706224332212356956949983947160877073898960448236395042968736464621521147,5905242281663190858892708265754696019921609450612128937011632221309721495543
42,0.994340818779801560284599041862661851693564581086030891929615587037763571175162650369210454001630225979147338340498045057215761191522336869315925227952159862,115136800820456833737994126771386015026287095034625623644186278108926690779567,3479535755779840016334846590594739014278212596066547564422106861430200972724
43,0.832655718948980123881858572247944845618465537060844947745594084312881778090684752493691636086461060296233885265446909756594165422328317833414681353215469407,96414945312501980282409358461754977502747357521062737878469375231739675541449,108016644921439980219149763541432916357155273945921323318636524851968650287411
44,0.363347550667801605629315880031572461678490113093524473043406759253231876772315669001853069233560393091507374961538904892961826303266479545796811447041466414,42072772011086351294328511389423850314698152445154323541536957340534349973349,99133657745585934968186133288050721248258413615930917407282740640761199917928
45,0.017874756062114028813477260501746336495761935050946804546153883108933535254973384508186592427424176183337053592128831998734176463131393162265688649179755673,2069755349039566255304036353648839232649715781170511813011535420394543798627,53173698995439924366951845531266805314230463309822098990695656330917108292762
46,0.971446051557056244211362088753902599745606786267893716829186215169946518160994076727759579893924996189516638588220398735660457325366838799626342021527267807,112485767891133126222498548010271946438760990210983300801299715976951536768791,85739109496996784368776054024999276184984966609644199395125789597014054674947
47,0.468539272303049435710501962479513922922633768008013395541547540618939916048249619162732243423629840886993301858638351935895244625463430357404207247260094583,54253141229701892740678441538472478126466317116121420289154985997987923385716,67647191893224491627918802490479062705030965032432110320079555712709270724822
48,0.432772837017428420189775888776288559407951361932275882305345867995642965810978005788476471072055913113350151955526231066094599786971071298725473470481423883,50111670963408569345385204828013406423962206186815367070190059614189255189955,96344650049071302355595011727277439354119658646232861677212062449792674989672
49,0.948650930495478282942085783929239237947982550527399861880358191985084504596420883284658341560314347639774434210075211821654571589872760397411345061183663656,109846273198995465046214558810696509369395695668678477567979041624391316796720,101711840700253487202274292900077312932162220876743713596510869779955653950519
50,0.161948648467327536745335511202181984770718996198608251143427810275813827856779305641183896315814367238504293440636790086103816938924405561255598261269860691,18752372355191540835222161239240920883340654532661984440989362140194381601434,88478450163343634110113046083156231725329016889379853417393465962619872936244
51,0.274341441550995074073544281716331468759025824173248305888200670746696744258302943946617676296049086435949664082146000591000335448667880647337299056699931082,31766568681566786811585556083273569704981103744700868374944839455567139361883,42892316439533998508363691869839348703863091985464714880496520815537080971390
52,0.168501845141041087478379221808703649177976244611144484008613657758689796029232555687154345630338829113425459496214939004274815059106691258345535172592297664,19511180689223863964676874168627421459323156917296991798297923962201555596949,57367979562017697409196531308288663269903370049256107839675184520239291074509
53,0.943107620409948418430139485814616926739106005445703218070042127804886762923615138666407568751546325178585077842207385074034456937304192299133114751348708621,109204401742901676102938274178210524270147101032576152349016621748734496666183,93562928090829704595527535353598406140745506107437687143296992058804640357878
54,0.311961709146647090757643399367895738219705790405719440017977002465059662748158452073198456306380886222346522181607437381830916208263052985119208325609223893,36122698064134239917117034944532638029925389202648589133547978226819319812203,17027329777463400105144356958107372283640412543533161381521436991456009891579
55,0.792836436810632502600430321969561006412379166315867709585389236748933501748676854807261967430751470400198087815593957757586803704855064941235993114533534217,91804187441772561664481510830917750223077921964002572402238128845622951625169,91945440139593333380184788272080657792196709314822575974121657953469941695606
56,0.737904423576742209836571009057134347028483605109392142950376375273145598918484615096494581030880878112086660721840377349400891354300696687669846684669675931,85443494863408502680908561006538876660936831179320971186834465657383528300823,41574129741798670788318102088797945519763253166412892215513009393101328479924
57,0.148449557637081585126748540138744464157621645921454442413096869951499503557526269301787237682424297111959945247788152990993126320652611124727571863357695158,17189284425153064836001861279656763224636129289551722165462018837400972173600,29445779904272847763706160655321487704701247799275275841430067857695472241472
58,0.270846308025827581097794104432295223118906032346380058267242034779988294111722719360987450793562353120395840984335027026580225356249828055507755472321554325,31361859868524256934340493392748324439250961207479738197811398391136366390587,66949045302018276465653829790546454755295341269007016439257946146448951430658
59,0.461758282697617028109994652749979412520898251459161171614062538863642920405276616868470136504430132070724949061430578915054996883721855423670326286128321027,53467956276192349861948221937171498503643177269204461230384245004177138836533,4119214727602775607932521128681884153131966461396859633231677764244527094881
60,0.004478369759035975706760408920855728111117006682644176675087295204855062297647385977751722474301102459541821496370542065610197881185275337942974654263576770,518559790775991926153431284348924991691752894319091408626305042091127390610,7754554211713140270585379622151031431183921268920287121212618482407411327399
61,0.458224429271600328803349897534028350831893244709746253497554627219877287871929625838114349372949160669339438376195347145073868499848471396275342275474959696,53058764004935428650100139287376587679652978405430403380587712871864611556376,2918800479109537269737873642942211407706668016660669097675760428828773803651
62,0.064518196807346345337462363083938088980663272435299398589206698149214794713559144773560208620319538904138502422982834402126605216637946156427777171620240566,7470696802146976875048795875680307511987987110754117830917946933599684326041,35498370868222357101075189419100726924131867018781426271212491175192595798687
63,0.890239540590875974817568315798001950187811255136474604309079458771414447695306048648357575169372529560454697462926116758341645279245345634268438448957971179,103082696326686084252692006348842617458364360484939043050040089399696685644264,40612530833850030770560071666434436443194162318210174699750855405684277524469
64,0.746639330912411895921528956862467057562870674269552570242247413611747210785465665683047319744025298227528965455726390053835994523864327718156749158143922445,86454928033100054822938644242727206101601557724291916072342392316125160730507,41929975541376036990359335647717381527212342035893043668288666074313354583455
65,0.095386996171704696847185480716036359840022143554803270566325379512968681216791930350421127683807175440809717883209667851559228374379115792388747911893242018,11045059572793568563399009827450521654436229950346969273826455203229685425899,26950030226550877209429637342197821712469081306958210747276495411981785794699
66,0.029577539466799161732117493934840045049722124971289476820116235503955251363453060686409967875122052157275525118450808800792039882602303985597522823853314430,3424845089359850216662036433701154320174571538574732765710185710213042263842,50402943044099287338970517565438553175068884535895555750200109900004591912417
67,0.873496094421651837696752563386603362643723222893933439816093040225825486733057341910088469719352214041054174689975753024885848070379262041576321453828036126,101143937713719082963090668683011527973146442333401502687785111310791413372479,38862116509156141457510692564259449296113038651200971193676748814312797774871
68,0.441020267588804529686842515398280593403489256611514714567968135064830905756523451802744842583792951553784925523853767014365415394563265573202577625831776307,51066658180107921513962315407412637295052131625923864803877804316114485295337,33347816669304080943742680598459188657402202482318798658365673129240153230584
69,0.370565221234137382978532672574450484263195776528084155912906826402293134366436641942234586550965890272749120815800704452220628922281868087560344908327739226,42908521165389054147656703915977693567694617347068492019141574585392160469315,108411282694261654019124559002505901449633459510310773275932971604470807505000
70,0.750181705466807428770321165565120782722751295869164340845110385323004115172599038179388611165533282749437962404194047307715319963116005876990217830619577437,86865106983614620555782830675279365848528790960271514243101794703912353027136,107186483708804024343949399862843037919568693300460965445053323392260478671799
