source,d,puzzle,q_d,q_x,m1,m2,k1,k2
walk,1,,1,2,0,0,26438641408296132114761290994571098985836333119158771404572048992047309067915,28627621613981211554817427900597435340414270334618822770928138368341807661323
walk,2,,1,2,0,1,43002745584936368668822830014367792248599390239138221602551968702705580194059,46563146341610635562430090411567900112044755590483988231132361210591608792536
walk,3,,1,2,0,2,54115587464026645849850592994135041883052376170205019126304837600514396994785,58596072975683960206898066179794631219062601171334389418325775954695378893334
walk,4,,1,2,1,2,49639348732995618254631571552324863737951414688314781387671358766621165003894,53749225262639462105117592701891734570837420615708820090131736467665329989787
walk,5,,1,1,1,3,10325467781718383863231881137465809271918744343096954594309546685701600760176,11180362110045264251097174850153427222183388971478252376520839113456475577971
walk,6,,1,2,1,4,55589047854519142281108019731958507997616068372916634279455491325120097724545,60191528122973490758396738695871821244112576897125671944085471289030830640339
walk,7,,1,1,2,4,20140427026031188554803229628355787652898890401325330837785515463093031454220,21807948265613231050406979565183067700325602218531061254532778523230032507823
walk,8,,1,1,2,5,10208426682096969471344373122873293491852433373001428640508622613610584277109,11053630624054658482251311967407137786331396114174447737482566633105771669899
walk,9,,1,2,2,6,37532886710400171054456315385348026285064916747193923099916008486315996863054,40640411972477598034267679050679519395673293854175117978831097499377658622574
walk,10,,1,1,3,6,34803703479015316479729969325910475301317959456360117589137214162753736922743,37685266749365192807692745900665060397575197816702957038654573270098969260367
walk,11,,1,1,3,7,25906334338992742123682198107284533763274210072069176521231696121949421498013,28051242324019549482720147233776903370248548335648912832082832221694400469549
walk,12,,1,2,3,8,45185086262993822950416395059535658118023708773962452189652254382609059647465,48926173329246392324772378225501186753034517504030514051448862639706464475247
walk,13,,1,2,4,8,52669152186516892164059451648610087724352025799958810756324537794307041713096,57029880478339153504155444414752409296987160888511606102305641009156296900318
walk,14,,1,1,4,9,15988762356857086171326186275416233881830214231322996259231097399715956442208,17312547636594666878985368420287294548531045572114473410359109769384804835203
walk,15,,1,2,4,10,46814865737395439153660696077658184963972230988317106157165606208711440480688,50690889956960943664221263755058828791648320374337022797863584716035585068636
walk,16,,1,2,5,10,49961660680714122846788986846145395039534478840998357686399550801022934719853,54098222941395198527305302789899033810194050336858124546226654539696853470875
walk,17,,1,2,5,11,48426318862915078266539559481242289914504015886002740769050810316308472972961,52435762910666042232682741731548791279490265554451292824739807977579274077073
walk,18,,1,1,5,12,18677439518678724080196558348355182396939546896307206594830114174710663177218,20223833101007008888088821686816394673539570386089997307792483812848106750921
walk,19,,1,1,6,12,9404851599376607854053582753059424088948974692886947224534322177638665331249,10183523758452871443539678991789166346023926279184201035634511417019659172154
