family,label,d,d_net,tau,Delta_plus_num,Delta_plus_den,Delta_minus_num,Delta_minus_den,first_diff_Phi_plus,same_x,y_parity_flip
add_constant_+1,d->d+1,1,2,1,3994784108737485690843506028508311764956698826968435199282463065009298676904705321679418232071194166598088698892338633993018928811856205712955359365346197,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,3994784108737485690843506028508311764956698826968435199282463065009298676904746345900860362044504397151124286181435265804006164042054485777717297297003185,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,1,2,0,3994784108737485690843506028508311764956698826968435199282463065009298676904705321679418232071194166598088698892338633993018928811856205712955359365346197,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,3994784108737485690843506028508311764956698826968435199282463065009298676904746345900860362044504397151124286181435265804006164042054485777717297297003185,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,1,3,1,6674881001879988868680540444362262658233882100306479602072083003846239757213848556242178217897396552522474707916870325366155919370048086838622631634686089,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,6674881001879988868680540444362262658233882100306479602072083003846239757213862731206258593763969404880980918050426370176407605266460124869373063136292117,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,1,115792089237316195423570985008687907852837564279074904382605163141518161494336,0,50451069195798561467404814747673821484327437904322077487579775336394159706815,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-50451069195798561467404814747673821484327437904322077487579775336394159706815,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,1,37718080363155996902926221483475020450927657555482586988616620542887997980018,0,30274016299460456955180710445103740436904394362004711957137520612170797185075,115792089237316195423570985008687907853269984665640564039457584007908834671663,30274016299460456955180710445103740436904394362004711957137520612170797185075,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,False,False
add_constant_+1,d->d+1,2,3,1,2680096893142503177837034415853950893277183273338044402789619938836941080309143234562759985826202385924386009024531691373136990558191881125667272269339892,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,2680096893142503177837034415853950893277183273338044402789619938836941080309116385305398231719465007729856631868991104372401441224405639091655765839288932,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double,d->2d,2,4,0,1600557235642896979095208907680627681271482323751031285637233606469905886122789403807949629915052299756760741415260490954761507978196923415359705818560106,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1600557235642896979095208907680627681271482323751031285637233606469905886122739606324258533329672204740724439553432521256678188927210774586412770904247930,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
double_and_add_+1,d->2d+1,2,5,1,-7880816776628910449596553756089410640557531429512643024560697383754388216443900356287878417565669390824718078963759280418491571854082116581936795669274499,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-7880816776628910449596553756089410640557531429512643024560697383754388216444072046906636555147490821688498813886745023457363236875339578607867838853126875,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,1,False,False
negation,d->-d,2,115792089237316195423570985008687907852837564279074904382605163141518161494335,0,91475290637928534777635367783261110580959248891557307685859840098332091363803,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,-91475290637928534777635367783261110580959248891557307685859840098332091363803,13407807929942597099574024998205846127479365820592393377723561443720769383374469661147847687812952081302854773939601805382211292725060150247698793015185569,77,True,True
glv_lambda,d->lambda*d,2,75436160726311993805852442966950040901855315110965173977233241085775995960036,0,-1194117818146323809489254292291399301190121350919732155902599572496293187076,115792089237316195423570985008687907853269984665640564039457584007908834671663,-1194117818146323809489254292291399301190121350919732155902599572496293187076,115792089237316195423570985008687907853269984665640564039457584007908834671663,2,False,False
