Single-span KeyHunt BSGS — one MITM per zero anchor
avg_digit_span_decimal=19342813113834066795298816 = 2^84
jobs=319

file                                        P   tz      m     k_hint range
p135_001_SE_pivot198.95_raw.bat          P135 2^82  2^41   17179869184  458a7c945c985c00000000000000000000:458a7c945c985fffffffffffffffffffff
p135_002_SE_pivot198.95_raw+form5.bat    P135 2^82  2^41   17179869184  4e6475837d1f4400000000000000000000:4e6475837d1f47ffffffffffffffffffff
p135_003_SE_pivot198.95_raw+form5.bat    P135 2^82  2^41   17179869184  7b60bd711ee29400000000000000000000:7b60bd711ee297ffffffffffffffffffff
p135_004_SE_pivot198.95_raw+form5.bat    P135 2^83  2^42   34359738368  7255129cc2670800000000000000000000:7255129cc2670fffffffffffffffffffff
p135_005_SE_pivot198.95_raw_floor.bat    P135 2^134 2^67   1152921504606846976  4000000000000000000000000000000000:7fffffffffffffffffffffffffffffffff
p135_006_SE_pivot198.95_raw_floor.bat    P135 2^82  2^41   17179869184  48256bf3e8eaec00000000000000000000:48256bf3e8eaefffffffffffffffffffff
p135_007_SE_pivot198.95_raw_floor.bat    P135 2^82  2^41   17179869184  718c186d4284e400000000000000000000:718c186d4284e7ffffffffffffffffffff
p135_008_SE_pivot198.95_raw_floor.bat    P135 2^83  2^42   34359738368  6938f03f859bc800000000000000000000:6938f03f859bcfffffffffffffffffffff
p135_009_SE_pivot198.95_minus8+fo.bat    P135 2^82  2^41   17179869184  792a894e61338400000000000000000000:792a894e613387ffffffffffffffffffff
p135_010_SE_pivot198.95_minus8_fl.bat    P135 2^82  2^41   17179869184  749c781fc2cde400000000000000000000:749c781fc2cde7ffffffffffffffffffff
p135_011_SE_pivot199.0_raw.bat           P135 2^85  2^43   68719476736  4a883b9548b9e000000000000000000000:4a883b9548b9ffffffffffffffffffffff
p135_012_SE_pivot199.0_raw+form56.bat    P135 2^82  2^41   17179869184  5404d782343e6400000000000000000000:5404d782343e67ffffffffffffffffffff
p135_013_SE_pivot199.0_raw+form56.bat    P135 2^82  2^41   17179869184  421dd7d41f65fc00000000000000000000:421dd7d41f65ffffffffffffffffffffff
p135_014_SE_pivot199.0_raw+form56.bat    P135 2^82  2^41   17179869184  7a89d0bde7139400000000000000000000:7a89d0bde71397ffffffffffffffffffff
p135_015_SE_pivot199.0_minus8+for.bat    P135 2^81  2^41   17179869184  7d44e85ef389ca00000000000000000000:7d44e85ef389cbffffffffffffffffffff
p135_016_SE_pivot198.0_minus8.bat        P135 2^84  2^42   34359738368  65441dcaa45cf000000000000000000000:65441dcaa45cffffffffffffffffffffff
p135_017_SE_pivot198.0_minus8+for.bat    P135 2^81  2^41   17179869184  6a026bc11a1f3200000000000000000000:6a026bc11a1f33ffffffffffffffffffff
p135_018_SE_pivot198.0_minus8+for.bat    P135 2^81  2^41   17179869184  610eebea0fb2fe00000000000000000000:610eebea0fb2ffffffffffffffffffffff
p135_019_SE_pivot198.0_minus8+for.bat    P135 2^79  2^40   8589934592  4f513a17bce27280000000000000000000:4f513a17bce272ffffffffffffffffffff
p135_020_SE_pivot198.0_minus8_flo.bat    P135 2^133 2^67   1152921504606846976  6000000000000000000000000000000000:7fffffffffffffffffffffffffffffffff
p135_021_SE_pivot198.0_minus8_flo.bat    P135 2^81  2^41   17179869184  6412b5f9f4757600000000000000000000:6412b5f9f47577ffffffffffffffffffff
p135_022_SE_pivot198.0_minus8_flo.bat    P135 2^80  2^40   8589934592  5c63061b50a13900000000000000000000:5c63061b50a139ffffffffffffffffffff
p135_023_SE_pivot198.0_minus8_flo.bat    P135 2^80  2^40   8589934592  4d271e07f0b37900000000000000000000:4d271e07f0b379ffffffffffffffffffff
p135_024_SE_pivot198.0_minus8_cei.bat    P135 2^81  2^41   17179869184  78c60c36a1427200000000000000000000:78c60c36a14273ffffffffffffffffffff
p135_025_SE_pivot198.0_minus8_cei.bat    P135 2^81  2^41   17179869184  5a4e3c0fe166f200000000000000000000:5a4e3c0fe166f3ffffffffffffffffffff
p140_026_SE_pivot198.95_raw.bat          P140 2^87  2^44   137438953472  b93549de4c52a8000000000000000000000:b93549de4c52affffffffffffffffffffff
p140_027_SE_pivot198.95_raw+form5.bat    P140 2^90  2^45   274877906944  d0c83e4fba3e40000000000000000000000:d0c83e4fba3e7ffffffffffffffffffffff
p140_028_SE_pivot198.95_raw+form5.bat    P140 2^87  2^44   137438953472  a44bc0d71ffec8000000000000000000000:a44bc0d71ffecffffffffffffffffffffff
p140_029_SE_pivot198.95_raw+form5.bat    P140 2^89  2^45   274877906944  984019887feb20000000000000000000000:984019887feb3ffffffffffffffffffffff
p140_030_SE_pivot198.95_raw_floor.bat    P140 2^139 2^70   9223372036854775808  80000000000000000000000000000000000:fffffffffffffffffffffffffffffffffff
p140_031_SE_pivot198.95_raw_floor.bat    P140 2^87  2^44   137438953472  904ad7e7d1d5d8000000000000000000000:904ad7e7d1d5dffffffffffffffffffffff
p140_032_SE_pivot198.95_raw_floor.bat    P140 2^87  2^44   137438953472  e31830da8509c8000000000000000000000:e31830da8509cffffffffffffffffffffff
p140_033_SE_pivot198.95_raw_floor.bat    P140 2^88  2^44   137438953472  d271e07f0b3790000000000000000000000:d271e07f0b379ffffffffffffffffffffff
p140_034_SE_pivot198.95_minus8.bat       P140 2^83  2^42   34359738368  8b93549de4c52a800000000000000000000:8b93549de4c52afffffffffffffffffffff
p140_035_SE_pivot198.95_minus8+fo.bat    P140 2^86  2^43   68719476736  8d0c83e4fba3e4000000000000000000000:8d0c83e4fba3e7fffffffffffffffffffff
