Puzzle 160 complement KeyHunt exports
half_window=+-8796093022208  min_span=100000000000
count=20

run_p160_comp_001_D_BASE.bat  D_BASE  span=17592186044416  fffffffffffffffffffffffffffff00000000000:ffffffffffffffffffffffffffffffffffffffff
run_p160_comp_002_clean_0_grid_596.bat  clean_0_grid_596  span=17592186044417  e8d8eb910dc0725d6336ef2f469a656a194260f4:e8d8eb910dc0725d6336ef2f469a756a194260f4
run_p160_comp_003_clean_1_grid_190.bat  clean_1_grid_190  span=17592186044417  f82271433a9e4d7ed743e4a5aa52f16725b9f8cb:f82271433a9e4d7ed743e4a5aa53016725b9f8cb
run_p160_comp_004_clean_2_grid_3652.bat  clean_2_grid_3652  span=17592186044417  9f13e7956ad917d51cb73e3a45b36906023871ea:9f13e7956ad917d51cb73e3a45b37906023871ea
run_p160_comp_005_clean_3_eps_289904562752.bat  clean_3_eps_289904562752  span=17592186044417  a79cc60bf686d5fa7343e4e285c045ff6c15d55b:a79cc60bf686d5fa7343e4e285c055ff6c15d55b
run_p160_comp_006_clean_4_eps_448967243200.bat  clean_4_eps_448967243200  span=17592186044417  8ceadcd0aad31f0548f191e9c3835ead9b72ea72:8ceadcd0aad31f0548f191e9c3836ead9b72ea72
run_p160_comp_007_clean_5_eps_512189161120.bat  clean_5_eps_512189161120  span=17592186044417  84872dc45cbae18988ca2d1839d892f4620cfe0e:84872dc45cbae18988ca2d1839d8a2f4620cfe0e
run_p160_comp_008_clean_6_eps_212114115920.bat  clean_6_eps_212114115920  span=17592186044417  b8b9f542a914e924756cc8ca757c8efd06879d04:b8b9f542a914e924756cc8ca757c9efd06879d04
run_p160_comp_009_clean_7_grid_4605.bat  clean_7_grid_4605  span=17592186044417  90c63fe8d01aaa47bc2d850a5ea73854eb5b5043:90c63fe8d01aaa47bc2d850a5ea74854eb5b5043
run_p160_comp_010_clean_8_grid_813.bat  clean_8_grid_813  span=17592186044417  e16ca6879d9dd79bcfb5fe42d18d029da1e12303:e16ca6879d9dd79bcfb5fe42d18d129da1e12303
run_p160_comp_011_clean_9_grid_1693.bat  clean_9_grid_1693  span=17592186044417  c79e38f2b64cee0cb8c3d4fee67669a6822c3ee2:c79e38f2b64cee0cb8c3d4fee67679a6822c3ee2
run_p160_comp_012_clean_10_eps_27414489625.bat  clean_10_eps_274144896256  span=17592186044417  aad1899b113449b00e9e0af154588f1667af55cd:aad1899b113449b00e9e0af154589f1667af55cd
run_p160_comp_013_clean_11_eps_16346072691.bat  clean_11_eps_163460726912  span=17592186044417  c553ee2403f18ef6913d1ffcd9c995880c08b45b:c553ee2403f18ef6913d1ffcd9c9a5880c08b45b
run_p160_comp_014_small_rem_5.bat  small_rem_5  span=17592186044417  cd2b6fd3a394cb5240b1742a4dc8fdc20d4887c3:cd2b6fd3a394cb5240b1742a4dc90dc20d4887c3
run_p160_comp_015_small_rem_0.bat  small_rem_0  span=17592186044417  fb0ffbfc84b30bc0fda44ade1b5d983b91597103:fb0ffbfc84b30bc0fda44ade1b5da83b91597103
run_p160_comp_016_small_rem_4.bat  small_rem_4  span=17592186044417  ae7755c291d82b50db71813bc4224cf23f2a9383:ae7755c291d82b50db71813bc4225cf23f2a9383
run_p160_comp_017_small_rem_1.bat  small_rem_1  span=17592186044417  87455393126687aaecd8d14994eb82ce58283489:87455393126687aaecd8d14994eb92ce58283489
run_p160_comp_018_small_rem_3.bat  small_rem_3  span=17592186044417  d3224f3383d29e2dd2483d3210bfc065b4c9d8e5:d3224f3383d29e2dd2483d3210bfd065b4c9d8e5
run_p160_comp_019_small_rem_6.bat  small_rem_6  span=17592186044417  eb6b615357e63c2bacbc36e2e1497df01d51bdf0:eb6b615357e63c2bacbc36e2e1498df01d51bdf0
run_p160_comp_020_small_rem_7.bat  small_rem_7  span=17592186044417  a8245ae3380c1e4bbd5962f594da5992276f6661:a8245ae3380c1e4bbd5962f594da6992276f6661
