window_id,range,c0,c1,c2,c3,c4
1,Δ1-Δ5,2,2,-5,20,-32
2,Δ2-Δ6,4,-3,15,-12,-7
3,Δ3-Δ7,1,12,3,-19,157
4,Δ4-Δ8,13,15,-16,138,-286
5,Δ5-Δ9,28,-1,122,-148,-117
6,Δ6-Δ10,27,121,-26,-265,1346
7,Δ7-Δ11,148,95,-291,1081,-1578
8,Δ8-Δ12,243,-196,790,-497,322
9,Δ9-Δ13,47,594,293,-175,1847
10,Δ10-Δ14,641,887,118,1672,4738
11,Δ11-Δ15,1528,1005,1790,6410,-17285
12,Δ12-Δ16,2533,2795,8200,-10875,24900
13,Δ13-Δ17,5328,10995,-2675,14025,13488
14,Δ14-Δ18,16323,8320,11350,27513,-68889
15,Δ15-Δ19,24643,19670,38863,-41376,334785
16,Δ16-Δ20,44313,58533,-2513,293409,-488556
17,Δ17-Δ21,102846,56020,290896,-195147,-95975
18,Δ18-Δ22,158866,346916,95749,-291122,1634763
19,Δ19-Δ23,505782,442665,-195373,1343641,2351106
20,Δ20-Δ24,948447,247292,1148268,3694747,-4849378
21,Δ21-Δ25,1195739,1395560,4843015,-1154631,-9864192
22,Δ22-Δ26,2591299,6238575,3688384,-11018823,51810468
23,Δ23-Δ27,8829874,9926959,-7330439,40791645,-52037189
24,Δ24-Δ28,18756833,2596520,33461206,-11245544,-11853487
25,Δ25-Δ29,21353353,36057726,22215662,-23099031,425971085
26,Δ26-Δ30,57411079,58273388,-883369,402872054,-827466166
27,Δ27-Δ31,115684467,57390019,401988685,-424594112,-67715942
28,Δ28-Δ32,173074486,459378704,-22605427,-492310054,4138248574
29,Δ29-Δ33,632453190,436773277,-514915481,3645938520,-6878173247
30,Δ30-Δ34,1069226467,-78142204,3131023039,-3232234727,-634057342
31,Δ31-Δ35,991084263,3052880835,-101211688,-3866292069,25144728989
32,Δ32-Δ36,4043965098,2951669147,-3967503757,21278436920,-19295576209
33,Δ33-Δ37,6995634245,-1015834610,17310933163,1982860711,-68009361630
34,Δ34-Δ38,5979799635,16295098553,19293793874,-66026500919,253936478930
35,Δ35-Δ39,22274898188,35588892427,-46732707045,187909978011,44052306343
36,Δ36-Δ40,57863790615,-11143814618,141177270966,231962284354,-1333600503158
37,Δ37-Δ41,46719975997,130033456348,373139555320,-1101638218804,3037984089223
38,Δ38-Δ42,176753432345,503173011668,-728498663484,1936345870419,-1049400484427
39,Δ39-Δ43,679926444013,-225325651816,1207847206935,886945385992,-2578537913081
40,Δ40-Δ44,454600792197,982521555119,2094792592927,-1691592527089,-5595371132353
41,Δ41-Δ45,1437122347316,3077314148046,403200065838,-7286963659442,44394482565255
42,Δ42-Δ46,4514436495362,3480514213884,-6883763593604,37107518905813,-57305998646968
43,Δ43-Δ47,7994950709246,-3403249379720,30223755312209,-20198479741155,-23390250512727
44,Δ44-Δ48,4591701329526,26820505932489,10025275571054,-43588730253882,220241472861804
45,Δ45-Δ49,31412207262015,36845781503543,-33563454682828,176652742607922,-482003984475668
46,Δ46-Δ50,68257988765558,3282326820715,143089287925094,-305351241867746,1729110962858114
47,Δ47-Δ51,71540315586273,146371614745809,-162261953942652,1423759720990368,-3220767810428245
48,Δ48-Δ52,217911930332082,-15890339196843,1261497767047716,-1797008089437877,2011883513797926
49,Δ49-Δ53,202021591135239,1245607427850873,-535510322390161,214875424360049,379880207380622
50,Δ50-Δ54,1447629018986112,710097105460712,-320634898030112,594755631740671,15327704667761781
51,Δ51-Δ55,2157726124446824,389462207430600,274120733710559,15922460299502452,-54876788753635271
52,Δ52-Δ56,2547188331877424,663582941141159,16196581033213011,-38954328454132819,147463324138981067
53,Δ53-Δ57,3210771273018583,16860163974354170,-22757747420919808,108508995684848248,-306410016318813850
54,Δ54-Δ58,20070935247372753,-5897583446565638,85751248263928440,-197901020633965602,605709707773105709
55,Δ55-Δ59,14173351800807115,79853664817362802,-112149772370037162,407808687139140107,-681953159445365588
56,Δ56-Δ60,94027016618169917,-32296107552674360,295658914769102945,-274144472306225481,-351471993398029623
57,Δ57-Δ61,61730909065495557,263362807216428585,21514442462877464,-625616465704255104,3740782069997712815
58,Δ58-Δ62,325093716281924142,284877249679306049,-604102023241377640,3115165604293457711,-5215795585708065636
59,Δ59-Δ63,609970965961230191,-319224773562071591,2511063581052080071,-2100629981414607925,2809503975686774307
60,Δ60-Δ64,290746192399158600,2191838807490008480,410433599637472146,708873994272166382,-1587489042786724697
61,Δ61-Δ65,2482584999889167080,2602272407127480626,1119307593909638528,-878615048514558315,-315219759516554621
62,Δ62-Δ66,5084857407016647706,3721580001037119154,240692545395080213,-1193834808031112936,69670732600628766720
63,Δ63-Δ67,8806437408053766860,3962272546432199367,-953142262636032723,68476897792597653784,-205602942577427199603
64,Δ64-Δ68,12768709954485966227,3009130283796166644,67523755529961621061,-137126044784829545819,195932640576937690086
65,Δ65-Δ69,15777840238282132871,70532885813757787705,-69602289254867924758,58806595792108144267,557640450952109472466
