from_delta,to_delta,numerator,denominator,decimal,continued_fraction
1,2,2,1,2.0,[2]
2,3,1,4,0.25,"[0, 4]"
3,4,13,1,13.0,[13]
4,5,28,13,2.1538461538461537,"[2, 6, 2]"
5,6,27,28,0.9642857142857143,"[0, 1, 27]"
6,7,148,27,5.481481481481482,"[5, 2, 13]"
7,8,243,148,1.6418918918918919,"[1, 1, 1, 1, 3, 1, 4, 2]"
8,9,47,243,0.1934156378600823,"[0, 5, 5, 1, 7]"
9,10,641,47,13.638297872340425,"[13, 1, 1, 1, 3, 4]"
10,11,1528,641,2.3837753510140405,"[2, 2, 1, 1, 1, 1, 6, 2, 3]"
11,12,2533,1528,1.6577225130890052,"[1, 1, 1, 1, 11, 1, 3, 10]"
12,13,5328,2533,2.1034346624555864,"[2, 9, 1, 2, 87]"
13,14,5441,1776,3.063626126126126,"[3, 15, 1, 2, 1, 1, 7, 2]"
14,15,24643,16323,1.5097102248361207,"[1, 1, 1, 25, 4, 15, 1, 1, 2]"
15,16,44313,24643,1.7981982713143692,"[1, 1, 3, 1, 21, 2, 2, 44]"
16,17,34282,14771,2.3208990589668947,"[2, 3, 8, 1, 1, 1, 1, 15, 7]"
17,18,79433,51423,1.5446978978278203,"[1, 1, 1, 5, 10, 1, 2, 1, 5, 1, 15]"
18,19,252891,79433,3.1837019878388078,"[3, 5, 2, 3, 1, 13, 1, 4, 1, 5, 3]"
19,20,105383,56198,1.8752090821737428,"[1, 1, 7, 74, 1, 1, 1, 1, 5, 1, 2]"
20,21,1195739,948447,1.2607335992417077,"[1, 3, 1, 5, 13, 1, 2, 1, 2, 3, 1, 3, 1, 1, 1, 4]"
21,22,2591299,1195739,2.1671108828933403,"[2, 5, 1, 61, 1, 2, 3, 7, 1, 6, 1, 4]"
22,23,8829874,2591299,3.407508743684152,"[3, 2, 2, 4, 1, 12, 1, 2, 1, 1, 2, 5, 1, 3, 3, 1]"
23,24,18756833,8829874,2.1242469598093927,"[2, 8, 20, 1, 1, 1, 1, 1, 19, 1, 1, 9, 1, 4, 3]"
24,25,21353353,18756833,1.1384306188576718,"[1, 7, 4, 2, 7, 4, 1, 3, 1, 3, 2, 3, 1, 4, 2, 1]"
25,26,57411079,21353353,2.6886212671143497,"[2, 1, 2, 4, 1, 2, 1, 2, 23, 1, 2, 1, 6, 1, 23, 1]"
26,27,115684467,57411079,2.0150199058268874,"[2, 66, 1, 1, 2, 1, 2, 4, 451, 2, 11]"
27,28,173074486,115684467,1.496090966127717,"[1, 2, 63, 2, 4, 1, 65, 1, 6, 2, 2, 1, 23]"
28,29,316226595,86537243,3.654225441409082,"[3, 1, 1, 1, 8, 3, 1, 3, 1, 1, 1, 4, 1, 10, 2, 1]"
29,30,1069226467,632453190,1.6906017455615965,"[1, 1, 2, 4, 3, 4, 4, 1, 6, 2, 1, 1, 1, 7, 1, 3]"
30,31,991084263,1069226467,0.9269170691039395,"[0, 1, 12, 1, 2, 6, 2, 3, 3, 1, 1, 7, 1, 1, 77, 11]"
31,32,1347988366,330361421,4.080344375319781,"[4, 12, 2, 4, 6, 48, 3, 5, 6, 1, 11, 3, 2]"
32,33,6995634245,4043965098,1.7298948125095812,"[1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 1, 1, 2, 26, 1, 4]"
33,34,1195959927,1399126849,0.8547902056591868,"[0, 1, 5, 1, 7, 1, 4, 2, 10, 23, 3, 4, 1, 1, 1, 37]"
34,35,22274898188,5979799635,3.725024172653571,"[3, 1, 2, 1, 1, 1, 3, 25, 1, 1, 2, 1, 1, 2, 55, 1]"
35,36,57863790615,22274898188,2.597712911036898,"[2, 1, 1, 2, 17, 11, 5, 1, 2, 3, 4, 1, 2, 4, 1, 416]"
36,37,46719975997,57863790615,0.8074129866094325,"[0, 1, 4, 5, 5, 9, 1, 1, 1, 3, 1, 5, 1, 6, 1, 2]"
37,38,176753432345,46719975997,3.7832517798457292,"[3, 1, 3, 1, 1, 1, 1, 2, 3, 43, 1, 24, 2, 5, 32, 2]"
38,39,679926444013,176753432345,3.846751007843915,"[3, 1, 5, 1, 1, 9, 2, 1, 2, 2, 1, 53, 1, 2, 1, 5]"
39,40,454600792197,679926444013,0.6686028999164918,"[0, 1, 2, 57, 19, 3, 1, 1, 13, 1, 1, 2, 1, 1, 1, 3]"
