window_id,range,A,B,relative_error,max_abs_error
1,Δ1-Δ5,2,2,0.16666666666666666,11
2,Δ2-Δ6,2,-2,0.30952380952380953,19
3,Δ3-Δ7,-2,7,0.1373873873873874,47
4,Δ4-Δ8,1,4,0.102880658436214,53
5,Δ5-Δ9,2,-3,0.289437585733882,178
6,Δ6-Δ10,-1,3,0.2626105044201768,310
7,Δ7-Δ11,2,2,0.20680628272251309,735
8,Δ8-Δ12,1,2,0.15502039742071325,793
9,Δ9-Δ13,2,0,0.064502002002002,523
10,Δ10-Δ14,7,-8,0.08011190753333741,3035
11,Δ11-Δ15,-1,8,0.10020425002367137,4363
12,Δ12-Δ16,1,1,0.11133677852248024,8462
13,Δ13-Δ17,1,2,0.07959797496580648,12976
14,Δ14-Δ18,-1,6,0.07101792286161503,28982
15,Δ15-Δ19,-2,8,0.010855796898004805,10054
16,Δ16-Δ20,1,3,0.052447140782071466,76919
17,Δ17-Δ21,3,-3,0.15674518714647037,337722
18,Δ18-Δ22,-1,4,0.12176299737441852,818765
19,Δ19-Δ23,5,-4,0.09762672340133807,1523368
20,Δ20-Δ24,1,4,0.07627591857680167,2398228
21,Δ21-Δ25,4,-6,0.11471603546290833,5639112
22,Δ22-Δ26,0,3,0.10021169723472131,10982936
23,Δ23-Δ27,2,0,0.09141819359378645,16160313
24,Δ24-Δ28,0,3,0.10324309538418427,51624408
25,Δ25-Δ29,-3,10,0.07037943735672622,74384174
26,Δ26-Δ30,0,6,0.08224797993145824,171391988
27,Δ27-Δ31,2,-2,0.24493717163724743,517673152
28,Δ28-Δ32,0,4,0.17710322566521156,1538728497
29,Δ29-Δ33,1,3,0.10253461452467155,1975501774
30,Δ30-Δ34,2,-2,0.24618132018993225,4200249506
31,Δ31-Δ35,-1,4,0.15784358933205464,7075262291
32,Δ32-Δ36,2,2,0.1217212777767941,16099399051
33,Δ33-Δ37,0,2,0.3246589969593774,45904191345
34,Δ34-Δ38,0,3,0.11917009651738841,39924391710
35,Δ35-Δ39,4,0,0.10881027177147434,184735186463
36,Δ36-Δ40,0,3,0.30326225569784954,539766516022
37,Δ37-Δ41,0,2,0.17740310007807147,586486492019
38,Δ38-Δ42,3,0,0.13745295903438673,1585178539842
39,Δ39-Δ43,1,2,0.13140432965880605,2168112563652
40,Δ40-Δ44,4,-6,0.13488078082126997,1493551859280
41,Δ41-Δ45,-2,5,0.1321105089620541,9838211963390
42,Δ42-Δ46,2,2,0.14853355253967662,20427073079690
43,Δ43-Δ47,2,-2,0.2562048633800863,38218706021455
44,Δ44-Δ48,0,3,0.1381554387201643,54482884776980
45,Δ45-Δ49,0,3,0.07408746243639294,22696306199772
46,Δ46-Δ50,-2,8,0.08265723460476188,185071348619836
47,Δ47-Δ51,1,4,0.11957040614428525,373959706522545
48,Δ48-Δ52,2,-1,0.27712163525120587,1261497767047716
49,Δ49-Δ53,2,-1,0.11734106418904357,535510322390161
50,Δ50-Δ54,0,2,0.27285407253652744,14976558583617905
51,Δ51-Δ55,0,4,0.2762299754739751,9882181919863057
52,Δ52-Δ56,0,5,0.05510174391006432,7334993587985633
53,Δ53-Δ57,0,5,0.06148592445492269,9135849938540018
54,Δ54-Δ58,0,4,0.07156411027148715,51014350190755526
55,Δ55-Δ59,1,3,0.10558913940628296,99684522482819378
56,Δ56-Δ60,2,-3,0.36874685057532763,483712948005442779
57,Δ57-Δ61,-2,5,0.14507819674723108,951503853197600690
58,Δ58-Δ62,2,1,0.17807578283625716,1291121649129619689
59,Δ59-Δ63,2,0,0.1280902924192653,1901092615090849880
60,Δ60-Δ64,2,-1,0.046218026860267464,1119307593909638528
61,Δ61-Δ65,2,-1,0.04886901221390072,1119307593909638528
62,Δ62-Δ66,-10,19,0.11416813384001695,23857370969879775199
63,Δ63-Δ67,0,6,0.2070309792511834,37060784210040468289
64,Δ64-Δ68,1,0,0.31074180920440925,70532885813757787705
65,Δ65-Δ69,0,6,0.29593073081567556,440488130605179657477
