delta_id,stationary_probability,spectral_cluster
30,0.015538461856412495,3
24,0.015477605356307078,7
21,0.015396346105944717,7
37,0.015394860029190358,3
39,0.015386253605322002,3
22,0.015364160746034665,7
3,0.015230902225412396,1
53,0.015230032281264995,3
14,0.015218406858769852,6
10,0.015075115697860146,1
64,0.015049556248156144,3
33,0.015021542821232936,6
16,0.015007693570084177,1
46,0.014933150295488487,4
40,0.014913415339546524,3
59,0.014902610802395404,7
41,0.014796674607395185,4
18,0.014796365984298655,1
36,0.01477476197686315,6
34,0.014769177018791277,6
26,0.014742752836702767,7
25,0.014736541841748206,7
15,0.014719407265469178,1
19,0.014709404968510673,6
27,0.014691658359729215,6
67,0.014688678262563107,5
9,0.014628176513573716,1
42,0.01462315488834078,4
12,0.014616723299689825,7
47,0.014611797496557189,3
57,0.014606791971541782,3
28,0.01458224590314052,6
29,0.014560181683712242,6
23,0.01455305124040973,7
20,0.014503921243377372,6
32,0.014482270372774785,6
65,0.01447926075146317,5
43,0.014476481283771355,4
54,0.014443545583300283,3
1,0.014392317849193453,4
5,0.014386349157028359,1
48,0.014386269000007706,2
63,0.014375498797452976,5
7,0.014374650798969347,1
4,0.01434851375446343,1
58,0.014323968994447147,5
17,0.014321848027120809,7
6,0.014307926196002758,1
68,0.014305982245334477,5
8,0.014245070768477166,1
44,0.014240554448381208,2
11,0.01422242591521026,1
55,0.014211792290905214,3
2,0.014139146663467075,4
45,0.014069687050558305,2
52,0.013995563684352735,2
31,0.013972668986618905,6
13,0.013930543792159104,1
51,0.013868907155904449,2
56,0.01382652503675728,3
62,0.013819731204021236,5
38,0.01381107663539296,4
35,0.013767731034294019,4
49,0.013709340951278107,2
50,0.013583869197217623,2
69,0.013562707852182294,5
61,0.013514666087716955,5
66,0.01332696721815909,5
60,0.012924560013779023,5
