,Δ1,Δ2,Δ3,Δ4,Δ5,Δ6,Δ7,Δ8,Δ9,Δ10,Δ11,Δ12,Δ13,Δ14,Δ15,Δ16,Δ17,Δ18,Δ19,Δ20,Δ21,Δ22,Δ23,Δ24,Δ25,Δ26,Δ27,Δ28,Δ29,Δ30,Δ31,Δ32,Δ33,Δ34,Δ35,Δ36,Δ37,Δ38,Δ39,Δ40,Δ41,Δ42,Δ43,Δ44,Δ45,Δ46,Δ47,Δ48,Δ49,Δ50,Δ51,Δ52,Δ53,Δ54,Δ55,Δ56,Δ57,Δ58,Δ59,Δ60,Δ61,Δ62,Δ63,Δ64,Δ65,Δ66,Δ67,Δ68,Δ69
Δ1,0.03942304938011924,0.024727738132591857,0.01875982763861768,0.016916225160626977,0.0170115385956387,0.014965074391132182,0.015657769976311863,0.01363344839540377,0.014437909098787482,0.01694534932108062,0.014981793549443477,0.013805599723949962,0.01387973132276525,0.013901921024938979,0.015097285533722358,0.014679869244035554,0.013906721912859214,0.018328390784828133,0.014243022618746446,0.01339356449049082,0.014087731011320796,0.01414680363218398,0.016636646391695063,0.014888444945777513,0.013028085981036063,0.013748105368972668,0.013819456265101221,0.015133048554385953,0.01323177121121012,0.014073382966882505,0.012544326220602005,0.014331486576982898,0.013895164146372919,0.01294721805652635,0.013561788839451572,0.013187145256918614,0.015242039993540367,0.012784154455023329,0.013617141389373122,0.01355404339141686,0.014974681353098564,0.015397475649360066,0.014209789949922063,0.012823430518085533,0.012080103375490417,0.016415333416559902,0.012755550299829105,0.013694857652618044,0.012054680491593247,0.012520151964465936,0.013156949942497557,0.012937408005005962,0.013440685469324655,0.012677243524617908,0.012387753731015137,0.013456212321064788,0.012673932789635842,0.0137424426442588,0.013591926924952808,0.01172533249110717,0.012436786679274791,0.013391292933839548,0.013594793950941146,0.014120906076110317,0.013054228006390677,0.011976741067896784,0.012669451975160553,0.012193799300572817,0.01269224254444526
Δ2,0.023210429771724,0.04020927974659441,0.020189498207429084,0.01748249221782242,0.0180617990388382,0.015211635413318308,0.016527519619384676,0.01382954753597314,0.014825785904868456,0.016328603751696445,0.01624542210602565,0.01393725737527067,0.01478819966599135,0.013770723250760397,0.015091609795407511,0.014350301009624023,0.013787004029690212,0.017284984993957295,0.013932319543307552,0.013188712914750685,0.013808571018347718,0.015457788604063785,0.015493209127395673,0.015142069079239824,0.013478072465667535,0.014399461048242058,0.013744537175493383,0.014375523120696862,0.013274070542343938,0.013725599289263622,0.013109960736576673,0.01380087192814333,0.013151318156685445,0.013114055065309193,0.014854052519334223,0.013290123227736782,0.01393394197471222,0.012796880830891786,0.014017669163479907,0.012535047759246971,0.016789394738807396,0.01421101373014922,0.013591471854207572,0.012811513756240019,0.01262265820790746,0.014667903558714146,0.012655013161833348,0.01257357750578395,0.012576076261574396,0.012759940441917448,0.013596196092396155,0.013794672995063683,0.013259781871006071,0.012743342316075077,0.012728833369453223,0.012882606908998234,0.012570291783912198,0.013092799148235534,0.0130817402829772,0.012017034064109875,0.012555143105149906,0.013484426918212996,0.014047838566990946,0.013290179973257914,0.012453536694963822,0.01205007190680369,0.012549053331938426,0.012841964080168033,0.01194597464784643
Δ3,0.017762732752625025,0.016876238922324368,0.03732769319218524,0.019711043922188382,0.01673178852627336,0.015162407750291028,0.016550663262366146,0.01574872992164113,0.01488274821566399,0.017793304752321413,0.01427975377741452,0.014379050082845577,0.013533876728489682,0.014446197977081668,0.01599367771252185,0.015302946982886076,0.01331420435300725,0.015335408480771482,0.0126230963804988,0.013301221131236702,0.015547933246763318,0.01672665674166533,0.013624239838385338,0.018353687146227548,0.01377362143016968,0.01663579498382465,0.015440851336672685,0.014338883481374298,0.012094144882219703,0.01681803139468908,0.012748817569643692,0.013492444660544365,0.01389753851951702,0.01353747281445655,0.011988521891970314,0.013243240007988513,0.016111509918205147,0.01277254314011594,0.016364227397490837,0.01349860628958518,0.012840366777764843,0.01551051375617528,0.012610689093475336,0.01221342860592757,0.012596035652634929,0.013977337810163803,0.013443448154004556,0.011970830119964285,0.01226587998295209,0.011608889155927143,0.014301717796692467,0.012352952723867825,0.01616467677984728,0.013334684481956871,0.01293806179075885,0.012875815113399814,0.01310865264165813,0.012728744476925383,0.015410415960851246,0.010853436967509506,0.01116445080269047,0.012406480317048062,0.012352720565214307,0.015230793101512598,0.0134582321738184,0.011028088569676507,0.013162095554840622,0.013517798574669516,0.012507210981929444
Δ4,0.017002161442822454,0.017227725462731193,0.01894209456262674,0.03962332280190022,0.019954346637331536,0.017640942892417112,0.01692954909699042,0.015333536896315574,0.015551736453855186,0.019987964487120074,0.01497830536144128,0.015185698590901409,0.014820962784388797,0.014212335468903325,0.01619590626685376,0.01550982547949855,0.013445024581555658,0.016474572380858296,0.013082481209103143,0.013069387373275171,0.014494939947855409,0.01493940608320258,0.013688272828067739,0.015382031539404789,0.014555865009416977,0.014631371957405874,0.01374049268405515,0.015575309156636937,0.012857745400699417,0.014465355964199884,0.013705363955936767,0.013663825346267125,0.014138211200404677,0.014135841792073672,0.013035395435463481,0.013240484480036233,0.015126686442749282,0.013031624382552206,0.014579867449500777,0.013748522558796744,0.012880026977939713,0.01319856057478058,0.012654877575143898,0.012801263739930653,0.012953183581174615,0.013147523221368211,0.013296533072034778,0.012146333370997868,0.012611897874550124,0.012035906991016728,0.01271839246081931,0.011846961934555577,0.014100433652277655,0.013162552154472236,0.012732728509316381,0.01278274075372599,0.013652234082404234,0.013109394037992082,0.013827913236511866,0.012075779981452877,0.011551320064976039,0.01263673170192932,0.0122221618015862,0.013535962734904363,0.013113256809327484,0.012095266931047555,0.013359404232950916,0.012944274329107953,0.01290188976608918
Δ5,0.017052982943598447,0.01775177108576212,0.01771406328380501,0.01792590209261645,0.039519093754175026,0.019721805151075602,0.01991121439907105,0.016724434270343477,0.01522552941253291,0.015955419893468294,0.016288319024596924,0.01372805256248739,0.015564706837357912,0.013718597407218543,0.015318866440971017,0.014736010753198947,0.01334900321043633,0.015537544268586036,0.013300485685272728,0.01318259716831099,0.01363536562193188,0.014328457413199899,0.013659242143572716,0.015891745867084507,0.014338205534062056,0.016436728373720885,0.016085378543437348,0.015265814265172841,0.013352342811541922,0.013382558476890004,0.012295498109517985,0.014676438728665211,0.013373592510807573,0.013030377182210671,0.013747198919602422,0.013131381226324316,0.013809206329406807,0.012973207770438087,0.013702608314292543,0.012804980286720717,0.014927387189026396,0.015468061455443412,0.01315214620651551,0.012549174224252538,0.012027306642110705,0.014353407025186688,0.012755389576748833,0.013691926564284937,0.011738304122690897,0.012788147218155509,0.01490727005204712,0.01308048150209279,0.013331895655956449,0.012554346762499337,0.012691812470535338,0.012518733823924315,0.0125779110652636,0.014882576351394722,0.012258818070967119,0.011692026209413967,0.012110443772836913,0.012619826226567666,0.013633827791820388,0.012679922892610612,0.01314857881213128,0.011942836755674844,0.012915077031837826,0.012124352804646053,0.012731283649878506
Δ6,0.015083794854304135,0.015032512206915566,0.01614057383595164,0.017691019151653064,0.017843160905692244,0.039735799090527095,0.019917829371265083,0.018062660125344614,0.01659591863605542,0.016453456021647776,0.01712221778291214,0.014142174916465732,0.017842920355365503,0.015077263183840194,0.017404203202582222,0.017583839094717186,0.013711334578456288,0.014606664694358945,0.014281050674752289,0.014838570387124193,0.013997306697950448,0.014214793175145951,0.012973217548430973,0.01483725743946616,0.013370655001553718,0.014416976926822506,0.015361125307741736,0.013581613974210135,0.013161499397766684,0.01324502507777001,0.013308659976672101,0.013485703524133941,0.012988609638576835,0.014526757320215205,0.012082396647129552,0.013796269470118184,0.014208291839400112,0.012557877039964131,0.013156406789868772,0.01569760969181032,0.012825584952910021,0.01441855816652928,0.012211455881367968,0.013661945861760606,0.01397273581962892,0.012551397711174615,0.013531490216519018,0.01317377453661551,0.013125316607761707,0.012505130047347535,0.01323586635095643,0.012137804055410092,0.013360969284055283,0.01328909504729759,0.013280248058065514,0.012452042817077076,0.01536326405399064,0.013337915496577871,0.012270736035704952,0.012243858617590865,0.011595080120028488,0.011819734613650722,0.013138179948414624,0.013111051606402368,0.012713968286919378,0.011713351466121099,0.013392212877834212,0.013487242794409165,0.011944973113199796
Δ7,0.015708696309027076,0.016257053561146945,0.017536571885935888,0.0168987642665395,0.019927426728319902,0.017847770101196196,0.039551271427857686,0.022276238785129167,0.014846086772004235,0.017888550181368423,0.016886282514689942,0.01438907314777781,0.016124010227829215,0.013644987626533588,0.01597385997991918,0.015153897396001273,0.013523390477538097,0.015451799730957914,0.013265676127077188,0.013863048698920884,0.013255896969597206,0.01404778256393021,0.013840442320090482,0.016189438468136766,0.013262124351394813,0.015663259273438333,0.01609958665088707,0.014884014998725874,0.013403808179145747,0.013501040756944074,0.012450171806629785,0.015248251189049144,0.01302924436467031,0.013466639788842952,0.013435614304993548,0.013138953447811541,0.013537010802600887,0.011920160586063221,0.013296332197152615,0.013673739716902342,0.014867737345700438,0.016122956425470934,0.012595875362504755,0.01280617983129516,0.01203701238466097,0.014289561771313374,0.012908240470532226,0.012478045029301547,0.012522643049189043,0.0121376996726019,0.015343241581038633,0.012828802735462597,0.013506833743621063,0.012698224086601241,0.012430068503612224,0.011879418598350682,0.012394121428493608,0.013895388464460784,0.012636611080919735,0.012296156715991742,0.01223550684925508,0.012893518655322747,0.013864097867237054,0.012236700013416032,0.012381911492328248,0.012376293216874874,0.012935272748510194,0.012381953903997463,0.011661958289158664
Δ8,0.013802289222960418,0.01372705256372596,0.016838755944262325,0.015444969999585929,0.016890405582050853,0.018142426740205123,0.020483438618713833,0.039911276576137376,0.017747490039364565,0.0157401696222946,0.015936840177153338,0.015423353454139982,0.01582851270596285,0.014988237220972854,0.016323466542024878,0.016451769493783252,0.013639914532575965,0.014892789076213804,0.013512731962670773,0.014681751609013005,0.014257713366389773,0.014313755687661299,0.013943404394936734,0.016204667843218418,0.01348207194012074,0.016438600132340737,0.015819092094797215,0.014540041368269065,0.013881314787494225,0.01392804917232729,0.013530224380963959,0.015179202970230857,0.013735008522147445,0.01450761794545227,0.012290618243029176,0.013912470789976877,0.012855142637815958,0.012743567642717793,0.01314356712277227,0.014103148469613053,0.012853722182946996,0.015131750758362981,0.012716423641676486,0.01287863447278337,0.012649022097844756,0.01299336356327218,0.013805061122210525,0.012438237659463586,0.014022210509371816,0.012334788860484171,0.015130033748482296,0.01214188735308884,0.012945707590345246,0.013152269863662849,0.012779359073412247,0.012868270247097647,0.013486672853098932,0.01355857771521624,0.012511563946181801,0.011830599139306253,0.012395516495459662,0.012365945867814612,0.01258970497845915,0.012947414195719785,0.013337838024115398,0.012128759789845258,0.013429479379927292,0.012979000642834346,0.012381263031428306
Δ9,0.014233934041267068,0.014330531244032588,0.01549611541941459,0.015254530838130335,0.014973946791797725,0.016232679189971733,0.014588895229437194,0.01533941896507642,0.03886609070210573,0.019129181400381733,0.015008350603310192,0.01644479829904581,0.014842466701363955,0.01452914230896541,0.016898588403779606,0.014187837667033772,0.014481738320992721,0.013809188831272233,0.01376062063280483,0.01373755806673093,0.016034388576410923,0.014941547578097151,0.012830545944967096,0.014635577283264197,0.014698991491810654,0.013949676789795754,0.013317761420962696,0.013378040599822597,0.01313079045858374,0.014897673691191238,0.012966474402087745,0.01265113341394121,0.01444455242588152,0.013867496434895555,0.013961519055343867,0.013441935542441576,0.015538792164872592,0.012988532245254755,0.015351226719522895,0.01407752447946718,0.013223593574344767,0.012796694567820075,0.015566283673530246,0.013650582895670511,0.013278432162722974,0.013408362864186299,0.013161548450724212,0.014230304208067913,0.013713693776085957,0.012459074569321863,0.01238646091325726,0.014845142195881515,0.014101120826995966,0.013446952725645073,0.013454456004454364,0.013651118044094291,0.013218838510918627,0.01283874788844829,0.014668160935969513,0.011656954375118435,0.014803588336146228,0.012365535739661409,0.013014856449370381,0.015506221816760424,0.01394429079666955,0.013036004735361819,0.012877880947678241,0.013899765708373169,0.01354553793119125
Δ10,0.016210565564035977,0.015315127307554091,0.017977252578320096,0.01902459988007889,0.015226465962095545,0.015616116438202425,0.01705738883273051,0.014873447474798721,0.016676261279741644,0.0377135882301125,0.01940607739997584,0.016255440404264,0.014689551305881387,0.014808545632689185,0.016363156630329622,0.01607330698773723,0.013026627612787013,0.016609952327943177,0.013394996214746121,0.0132351289046542,0.016503818731609218,0.01659703840956595,0.013971058093866047,0.017601036784977025,0.013667020760999965,0.0148908380406105,0.013761544017734112,0.01367334491220275,0.012432608847429198,0.015935178425874903,0.012147562282037084,0.013299938403398397,0.01404174393282863,0.01410524997157488,0.012029590707230208,0.01305965321290336,0.016116936241991835,0.012341229755540868,0.016074200325883466,0.013374652647999337,0.013231821674713722,0.013583397072970661,0.012952070195781342,0.01288774757534061,0.012126116782282264,0.014014206648618275,0.013337334270624297,0.012251251661397285,0.012271670775300524,0.011861803073942856,0.012371034982618373,0.011946200508316763,0.015370023182581344,0.01255434257295804,0.012487334497235832,0.013344403205397017,0.012955302183147499,0.012957799641050566,0.015741861387237006,0.01083230260965184,0.011661096084412986,0.01232200804177998,0.012011331997858546,0.015705696073540144,0.013815562348809263,0.011301353551625086,0.013345968799243324,0.012748607891745941,0.012832509234882633
