delta_id,transition,delta,bit_length,popcount,delta2,delta3,prev_ratio_num,prev_ratio_den,next_ratio_num,next_ratio_den,prev_ratio_cf,next_ratio_cf,small_prime_factor_exponents,remaining_cofactor,addition_carry_count,addition_longest_carry_chain,subtraction_borrow_count,subtraction_longest_borrow_chain,x,y,x_popcount,y_popcount,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97
1,1->2,2,2,1,2,-5,,,2,1,,[2],1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,0,89565891926547004231252920425935692360644145829622209833684329913297188986597,12158399299693830322967808612713398636155367887041628176798871954788371653930,130,128,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2->3,4,3,1,-3,15,2,1,1,4,[2],"[0, 4]",2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,0,0,0,103388573995635080359749164254216598308788835304023601477803095234286494993683,37057141145242123013015316630864329550140216928701153669873286428255828810018,112,135,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3->4,1,1,1,12,3,1,4,13,1,"[0, 4]",[13],0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,3,3,3,3,55066263022277343669578718895168534326250603453777594175500187360389116729240,32670510020758816978083085130507043184471273380659243275938904335757337482424,135,123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4->5,13,4,3,15,-16,13,1,28,13,[13],"[2, 6, 2]",0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,1,1,1,1,109699032664856045668214896063362497021339186688470416858630178803463338613416,4835088675770141268294878046681321747490758260515711581034896622314066275713,130,119,1,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
5,5->6,28,5,3,-1,122,28,13,27,28,"[2, 6, 2]","[0, 1, 27]",2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,3,3,3,3,38862517885349586199469132990077977525522399615397327331631717567532241615208,56796032415390392137148811074183321813766115156763923072036584114852967736264,139,118,0,1,3,0,6,2,11,9,5,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
6,6->7,27,5,4,121,-26,27,28,148,27,"[0, 1, 27]","[5, 2, 13]",0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,4,2,4,2,99023490166718961467148584643029653267652245207820783364668071358307234645801,75362751621984629832705305750958516370071248757681753180287377123479199292501,137,127,1,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
7,7->8,148,8,3,95,-291,148,27,243,148,"[5, 2, 13]","[1, 1, 1, 1, 3, 1, 4, 2]",2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0,1,3,3,3,3,107102038646057268894400709182185766605027441091438117970905818045598729025219,2112802716716561397916579912080045259470782930197091582866471640269026402267,130,122,0,1,3,1,5,5,12,15,10,3,24,0,25,19,7,42,30,26,14,6,2,69,65,59,51
8,8->9,243,8,6,-196,790,243,148,47,243,"[1, 1, 1, 1, 3, 1, 4, 2]","[0, 5, 5, 1, 7]",0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,3,3,3,3,52753949709974084938802853863505491704044021408316307275656100602334598857705,92443812174239770895839439044230084834301254833704634745644285456431253084936,140,126,1,0,3,5,1,9,5,15,13,11,26,21,38,28,8,31,7,60,42,30,24,6,77,65,49
9,9->10,47,6,5,594,293,47,243,641,47,"[0, 5, 5, 1, 7]","[13, 1, 1, 1, 3, 4]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0,1,9,9,9,9,54253141229701892740678441538472478126466317116121420289154985997987923385716,67647191893224491627918802490479062705030965032432110320079555712709270724822,130,125,1,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47,47,47,47,47
10,10->11,641,10,3,887,118,641,47,1528,641,"[13, 1, 1, 1, 3, 4]","[2, 2, 1, 1, 1, 1, 6, 2, 3]",0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,641,1,1,1,1,86873507527155280204707749760213670634269435220809910075990879211382276569298,44914300940532370130207803998822433304686871227920696246848865033873748568829,114,125,1,2,1,4,3,4,12,14,20,3,21,12,26,39,30,5,51,31,38,2,57,9,60,18,59
11,11->12,1528,11,7,1005,1790,1528,641,2533,1528,"[2, 2, 1, 1, 1, 1, 6, 2, 3]","[1, 1, 1, 1, 11, 1, 3, 10]",3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,191,3,2,3,2,48590641795577791316493737599535458724623899343886987223684616292174692367897,22183536443737468619272883913583115584186738399382870633827666151261097711807,129,124,0,1,3,2,10,7,15,8,10,20,9,11,11,23,24,44,53,3,54,37,68,27,34,15,73
12,12->13,2533,12,7,2795,8200,2533,1528,5328,2533,"[1, 1, 1, 1, 11, 1, 3, 10]","[2, 9, 1, 2, 87]",0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,149,11,10,11,10,48613764011268215327997254664477698424860814211295072379767445787785318846911,48225883798677549708888491428443826441857891666729268195706325768409686060835,136,128,1,1,3,6,3,11,0,6,3,10,22,17,32,39,42,42,55,32,54,48,51,5,43,41,11
13,13->14,5328,13,5,10995,-2675,5328,2533,5441,1776,"[2, 9, 1, 2, 87]","[3, 15, 1, 2, 1, 1, 7, 2]",4|2|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0,1,4,2,4,2,82691995147409295936308217420661420947273150535619485838375476790640287963133,90017581564930222760654874030271916298141998234357157811570291639163472606900,120,121,0,0,3,1,4,11,7,8,15,21,27,0,39,39,17,28,18,21,35,3,72,35,16,77,90
14,14->15,16323,14,10,8320,11350,5441,1776,24643,16323,"[3, 15, 1, 2, 1, 1, 7, 2]","[1, 1, 1, 25, 4, 15, 1, 1, 2]",0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,5441,6,6,6,6,36743314121009868335277948977005906509266084009458861463473143461797650476877,45394464547077897828378981853095975786751342254374309869148975714530462250706,136,125,1,0,3,6,10,8,3,2,16,25,17,6,5,26,14,52,39,36,42,64,44,49,55,36,27
15,15->16,24643,15,5,19670,38863,24643,16323,44313,24643,"[1, 1, 1, 25, 4, 15, 1, 1, 2]","[1, 1, 3, 1, 21, 2, 2, 44]",0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1297,6,2,6,2,22380893276936261714872003064688791812123943240883761935970276280454181301350,5265756024655182193671295057719832749718385537849109344563611927326880170127,129,130,1,1,3,3,3,8,10,0,10,22,29,1,2,4,15,51,40,60,54,6,42,74,75,79,5
16,16->17,44313,16,8,58533,-2513,44313,24643,34282,14771,"[1, 1, 3, 1, 21, 2, 2, 44]","[2, 3, 8, 1, 1, 1, 1, 15, 7]",0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14771,5,2,5,2,24974450903038914257135729558961898080039497413983048864919290430415877317605,33202114808365551714764692119558291790381581831094912062732862040860997707981,126,124,1,0,3,3,5,9,11,5,15,1,14,24,33,23,39,5,4,27,26,9,2,73,74,80,81
