level,index,value,abs_bit_length,sign,popcount_abs
1,1,2,2,1,1
1,2,4,3,1,1
1,3,1,1,1,1
1,4,13,4,1,3
1,5,28,5,1,3
1,6,27,5,1,4
1,7,148,8,1,3
1,8,243,8,1,6
1,9,47,6,1,5
1,10,641,10,1,3
1,11,1528,11,1,7
1,12,2533,12,1,7
1,13,5328,13,1,5
1,14,16323,14,1,10
1,15,24643,15,1,5
1,16,44313,16,1,8
1,17,102846,17,1,10
1,18,158866,18,1,8
1,19,505782,19,1,14
1,20,948447,20,1,14
1,21,1195739,21,1,13
1,22,2591299,22,1,10
1,23,8829874,24,1,13
1,24,18756833,25,1,12
1,25,21353353,25,1,12
1,26,57411079,26,1,11
1,27,115684467,27,1,15
1,28,173074486,28,1,12
1,29,632453190,30,1,14
1,30,1069226467,30,1,20
1,31,991084263,30,1,19
1,32,4043965098,32,1,12
1,33,6995634245,33,1,15
1,34,5979799635,33,1,13
1,35,22274898188,35,1,21
1,36,57863790615,36,1,19
1,37,46719975997,36,1,17
1,38,176753432345,38,1,19
1,39,679926444013,40,1,24
1,40,454600792197,39,1,17
1,41,1437122347316,41,1,19
1,42,4514436495362,43,1,15
1,43,7994950709246,43,1,26
1,44,4591701329526,43,1,20
1,45,31412207262015,45,1,25
1,46,68257988765558,46,1,24
1,47,71540315586273,47,1,21
1,48,217911930332082,48,1,21
1,49,202021591135239,48,1,25
1,50,1447629018986112,51,1,22
1,51,2157726124446824,51,1,24
1,52,2547188331877424,52,1,25
1,53,3210771273018583,52,1,30
1,54,20070935247372753,55,1,27
1,55,14173351800807115,54,1,31
1,56,94027016618169917,57,1,27
1,57,61730909065495557,56,1,28
1,58,325093716281924142,59,1,27
1,59,609970965961230191,60,1,35
1,60,290746192399158600,59,1,29
1,61,2482584999889167080,62,1,34
1,62,5084857407016647706,63,1,34
1,63,8806437408053766860,63,1,27
1,64,12768709954485966227,64,1,28
1,65,15777840238282132871,64,1,34
1,66,86310726052039920576,67,1,32
1,67,87241322610929783523,67,1,37
1,68,77376225707059865979,67,1,33
1,69,673162482084647784677,70,1,37
2,1,2,2,1,1
2,2,-3,2,-1,2
2,3,12,4,1,2
2,4,15,4,1,4
2,5,-1,1,-1,1
2,6,121,7,1,5
2,7,95,7,1,6
2,8,-196,8,-1,3
2,9,594,10,1,4
2,10,887,10,1,8
2,11,1005,10,1,8
2,12,2795,12,1,8
2,13,10995,14,1,9
2,14,8320,14,1,2
2,15,19670,15,1,8
2,16,58533,16,1,8
2,17,56020,16,1,9
2,18,346916,19,1,8
2,19,442665,19,1,8
2,20,247292,18,1,12
2,21,1395560,21,1,10
2,22,6238575,23,1,15
2,23,9926959,24,1,15
2,24,2596520,22,1,12
2,25,36057726,26,1,13
2,26,58273388,26,1,15
2,27,57390019,26,1,16
2,28,459378704,29,1,10
2,29,436773277,29,1,12
2,30,-78142204,27,-1,14
2,31,3052880835,32,1,19
2,32,2951669147,32,1,22
2,33,-1015834610,30,-1,17
2,34,16295098553,34,1,19
2,35,35588892427,36,1,15
2,36,-11143814618,34,-1,17
2,37,130033456348,37,1,18
2,38,503173011668,39,1,21
2,39,-225325651816,38,-1,20
2,40,982521555119,40,1,20
2,41,3077314148046,42,1,26
2,42,3480514213884,42,1,24
2,43,-3403249379720,42,-1,17
2,44,26820505932489,45,1,20
2,45,36845781503543,46,1,25
2,46,3282326820715,42,1,26
2,47,146371614745809,48,1,21
2,48,-15890339196843,44,-1,25
2,49,1245607427850873,51,1,24
2,50,710097105460712,50,1,26
2,51,389462207430600,49,1,27
2,52,663582941141159,50,1,26
2,53,16860163974354170,54,1,32
2,54,-5897583446565638,53,-1,26
2,55,79853664817362802,57,1,33
2,56,-32296107552674360,55,-1,24
2,57,263362807216428585,58,1,33
2,58,284877249679306049,58,1,31
