puzzle,d,d_bit_length,d_popcount_256,quadratic_class,quadratic_test,cubic_class,cubic_test,x,y,compressed_prefix,x_popcount_256,y_popcount_256,d_mod_2,d_mod_3,d_mod_5,d_mod_7,d_mod_11,d_mod_13,d_mod_17,d_mod_19,d_mod_23,d_mod_29,d_mod_31,d_mod_37,d_mod_41,d_mod_43,d_mod_47,d_mod_53,d_mod_59,d_mod_61,d_mod_67,d_mod_71,d_mod_73,d_mod_79,d_mod_83,d_mod_89,d_mod_97,x_mod_2,x_mod_3,x_mod_5,x_mod_7,x_mod_11,x_mod_13,x_mod_17,x_mod_19,x_mod_23,x_mod_29,x_mod_31,x_mod_37,x_mod_41,x_mod_43,x_mod_47,x_mod_53,x_mod_59,x_mod_61,x_mod_67,x_mod_71,x_mod_73,x_mod_79,x_mod_83,x_mod_89,x_mod_97,y_mod_2,y_mod_3,y_mod_5,y_mod_7,y_mod_11,y_mod_13,y_mod_17,y_mod_19,y_mod_23,y_mod_29,y_mod_31,y_mod_37,y_mod_41,y_mod_43,y_mod_47,y_mod_53,y_mod_59,y_mod_61,y_mod_67,y_mod_71,y_mod_73,y_mod_79,y_mod_83,y_mod_89,y_mod_97
1,1,1,1,QR,1,C0,1,55066263022277343669578718895168534326250603453777594175500187360389116729240,32670510020758816978083085130507043184471273380659243275938904335757337482424,02,135,123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5,15,3,14,21,20,1,22,3,11,8,0,15,50,52,48,59,17,64,29,0,2,4,5,4,7,12,2,1,5,4,9,4,30,22,42,52,7,62,43,37,7,45,41,39
2,3,2,2,QR,1,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,112711660439710606056748659173929673102114977341539408544630613555209775888121,25583027980570883691656905877401976406448868254816295069919888960541586679410,02,113,130,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,3,0,11,16,8,11,23,19,9,38,16,45,34,18,11,62,4,55,31,34,25,14,0,2,0,2,5,4,0,15,5,7,28,25,12,12,27,13,0,27,2,63,61,49,75,43,33
3,7,3,3,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,41948375291644419605210209193538855353224492619856392092318293986323063962044,48361766907851246668144012348516735800090617714386977531302791340517493990618,02,141,118,1,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,2,4,3,10,0,6,4,14,1,18,23,32,20,38,14,28,14,44,14,17,41,48,24,47,0,1,3,0,3,4,9,9,19,12,25,4,35,14,6,25,34,41,41,64,22,6,66,21,16
4,8,4,1,QR,1,C0,1,21262057306151627953595685090280431278183829487175876377991189246716355947009,41749993296225487051377864631615517161996906063147759678534462689479575333124,02,129,124,0,2,3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,4,3,9,8,6,18,13,21,20,16,20,2,15,52,51,50,20,7,61,51,28,64,92,0,2,4,2,6,10,5,10,13,11,5,24,8,6,46,48,43,2,5,16,56,30,1,74,4
5,21,5,3,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,24049875635381557237058143631624836741422505207761609709712554171343558302165,22669890352939653242079781319904043788036611953081321775127194249638113810828,02,125,128,1,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,1,0,6,5,9,3,13,21,7,14,6,39,7,0,17,54,56,43,35,55,27,31,76,56,0,0,3,0,4,5,10,18,5,23,30,22,6,4,29,38,38,4,16,1,54,42,61,82,38
6,49,6,3,QR,1,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,109846273198995465046214558810696509369395695668678477567979041624391316796720,101711840700253487202274292900077312932162220876743713596510869779955653950519,03,128,144,1,1,4,0,5,10,15,11,3,20,18,12,8,6,2,49,49,49,49,49,49,49,49,49,49,0,1,0,6,6,6,10,13,19,4,3,4,29,8,7,51,22,49,36,28,7,45,76,39,11,1,1,4,6,5,7,11,0,10,26,30,11,31,11,21,41,12,53,45,61,13,69,41,53,27
7,76,7,3,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,67990777350807742601404023085488753338978132210207570380931332031538910989091,85792528080009126161701413187313528408286619337671538805045464108358228475888,02,126,146,0,1,1,6,10,11,8,0,7,18,14,2,35,33,29,23,17,15,9,5,3,76,76,76,76,1,1,1,1,2,1,2,17,19,5,13,33,15,4,31,20,18,0,21,6,55,1,13,41,4,0,1,3,4,8,3,8,14,16,18,24,15,40,27,10,40,41,28,24,3,41,75,17,29,61
8,224,8,3,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,3951620832557057103848397037937330228967155552456836977045923180329637950740,95473263819178136898129622939316779429655166328021079992747693728567241822551,03,108,138,0,2,4,0,4,3,3,15,17,21,7,2,19,9,36,12,47,41,23,11,5,66,58,46,30,0,0,0,6,3,0,0,14,21,8,24,31,37,9,19,18,26,32,23,35,29,67,54,17,31,1,0,1,3,3,9,10,7,17,18,11,12,9,35,37,41,39,53,32,32,14,56,72,67,48
9,467,9,6,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,30474780960141219921807662305060768687772753653098971817340717083315339616503,61319752531495161980867220483083814171916864550579329528527835522023988931626,02,120,118,1,2,2,5,5,12,8,11,7,3,2,23,16,37,44,43,54,40,65,41,29,72,52,22,79,1,0,3,2,3,12,11,16,21,2,13,27,33,18,28,52,27,27,64,33,1,47,42,43,18,0,1,1,5,0,6,13,5,9,28,29,21,28,36,34,9,50,54,21,23,49,53,63,19,52
10,514,10,2,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C0,1,75827354541827746090915769557428734838962266972502112805530189196736906960333,96570036462163023759491147881411408314153451204876534252590428078766327205003,03,121,116,0,1,4,3,8,7,4,1,8,21,18,33,22,41,44,37,42,26,45,17,3,40,16,69,29,1,2,3,1,7,10,10,4,18,23,1,0,29,13,38,20,30,11,54,58,38,78,16,14,61,1,1,3,2,7,2,6,5,10,24,10,8,28,24,9,47,43,35,11,58,30,15,5,17,33
11,1155,11,4,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,62881537490095887219700399231850374465934748632261627566823792868512270937739,13147057280235047456932561657169493651618639731944681771959256397716727593785,03,124,138,1,0,0,0,0,11,16,15,5,24,8,8,7,37,27,42,34,57,16,19,60,49,76,87,88,1,1,4,4,0,11,1,14,18,12,28,25,30,5,28,23,4,14,48,66,7,38,38,73,30,1,0,0,0,7,2,16,18,1,1,27,10,31,18,3,46,30,9,12,9,48,70,37,66,32
12,2683,12,8,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,62873230362895154212630786022242768049765907075202803363316800197224716728348,44287605905639058437764882210076840571916049925678373415089141948008474303433,03,119,121,1,1,3,2,10,5,14,4,15,15,17,19,18,17,4,33,28,60,3,56,55,76,27,13,64,0,2,3,0,10,4,5,10,18,9,6,0,32,10,3,46,43,8,38,15,24,45,32,35,12,1,1,3,1,9,8,8,7,16,0,9,8,19,21,33,45,25,22,46,42,59,48,81,51,32
13,5216,13,4,QR,1,C2,78074008874160198520644763525212887401909906723592317393988542598630163514318,77279535011188034078516592160190105278519663645387310740933932046966334391965,21187662028949108981404481381270595331275020854904259675645205037069861834225,03,136,141,0,2,1,1,2,3,14,10,18,25,8,36,9,13,46,22,24,31,57,33,33,2,70,54,75,1,2,0,2,6,10,4,14,9,22,30,33,39,40,13,20,32,51,19,30,51,23,40,62,96,1,2,0,4,8,4,4,6,20,14,8,13,30,5,35,35,32,4,24,37,59,4,79,75,72
14,10544,14,5,QNR,115792089237316195423570985008687907852837564279074904382605163141518161494336,C1,37718080363155996902926221483475020450927657555482586988616620542887997980018,81843657467215387495831064399406566332608612828066495589872347702422424340313,54485907183099442435241830545487744604431707282385107218140713089194934994051,03,145,138,0,2,4,2,6,1,4,18,10,17,4,36,7,9,16,50,42,52,25,36,32,37,3,42,68,1,1,3,1,7,2,3,4,3,26,19,3,39,33,15,16,31,5,35,9,38,24,54,46,71,1,0,1,0,5,10,8,17,2,22,22,16,31,32,21,21,53,9,5,45,57,71,3,47,61
15,26867,15,9,QR,1,C0,1,115179987075229906903259602194857104773352008368264866291918996865985783521068,90040672269639781867601170828097460642155183514693739441068299505511569496110,02,136,124,1,2,2,1,5,9,7,1,3,13,21,5,12,35,30,49,22,27,0,29,3,7,58,78,95,0,1,3,2,1,5,13,3,6,6,5,0,8,31,14,39,16,26,1,39,58,15,14,51,26,0,0,0,0,4,8,4,12,21,14,11,6,27,14,20,20,33,11,22,37,20,58,78,13,20
16,51510,16,8,QR,1,C0,1,71261119111627271268814301300816751730184609798722377831958734823956300761978,59596021694081902311438976720015207351957060174440251698640379092733344351048,02,131,131,0,0,0,4,8,4,0,1,13,6,19,6,14,39,45,47,3,26,54,35,45,2,50,68,3,0,2,3,4,8,5,15,2,13,19,18,4,36,28,22,32,20,48,4,51,1,76,39,56,13,0,2,3,6,4,2,7,4,19,1,26,30,28,12,14,49,38,1,9,54,41,29,36,39,44
