series,frequency,period,amplitude
d,0.014285714285714285,70.0,1.7159511656579502e+21
d,0.02857142857142857,35.0,1.6719062626354172e+21
d,0.04285714285714286,23.333333333333332,1.605408391990997e+21
d,0.05714285714285714,17.5,1.5244737314379748e+21
d,0.07142857142857142,14.0,1.436970824574259e+21
d,0.08571428571428572,11.666666666666666,1.3492707670370849e+21
d,0.09999999999999999,10.0,1.265737669771639e+21
d,0.11428571428571428,8.75,1.188832956087405e+21
d,0.12857142857142856,7.777777777777779,1.1195182090371887e+21
d,0.14285714285714285,7.0,1.0577330755904613e+21
delta,0.014492753623188406,69.0,9.620100197790266e+20
delta,0.028985507246376812,34.5,9.381269159413555e+20
delta,0.043478260869565216,23.0,9.024678312371092e+20
delta,0.057971014492753624,17.25,8.597781682492425e+20
delta,0.07246376811594203,13.799999999999999,8.146110454646461e+20
delta,0.08695652173913043,11.5,7.705128732036263e+20
delta,0.10144927536231885,9.857142857142856,7.297542591000887e+20
delta,0.11594202898550725,8.625,6.93457837214968e+20
delta,0.36231884057971014,2.76,6.737961017838898e+20
delta,0.34782608695652173,2.875,6.724064133454882e+20
log2_delta,0.014492753623188406,69.0,757.2464271323528
log2_delta,0.028985507246376812,34.5,385.71858725964637
log2_delta,0.043478260869565216,23.0,255.67372274468593
log2_delta,0.057971014492753624,17.25,191.60164183090208
log2_delta,0.07246376811594203,13.799999999999999,151.57534430548608
log2_delta,0.08695652173913043,11.5,124.78929262436996
log2_delta,0.10144927536231885,9.857142857142856,108.960608099159
log2_delta,0.11594202898550725,8.625,98.68982333586703
log2_delta,0.13043478260869565,7.666666666666667,88.13023367975966
log2_delta,0.14492753623188406,6.8999999999999995,79.82493266845339
