,state,bit_length,popcount,entropy,carry_count,carry_chain,borrow_count,borrow_chain,v_2,v_3,v_5,v_7,v_11,v_13,v_17,v_19,v_23,v_29,v_31,v_37,v_41,v_43,v_47,v_53,v_59,v_61,v_67,v_71,v_73,v_79,v_83,v_89,v_97,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97,target_log2
state,2.7956041834489773,2.591014811468301,1.3255435677361864,1.3229848543079095,0.9554136656689445,0.36017491839864135,0.8137767695721929,0.12210676261750963,0.04447629778925499,0.008699908673448498,0.08245103918445551,0.0,2.6645352591003757e-15,0.0,0.004617789144644391,0.0,0.004830917874398821,0.0,0.0,0.009019268533715596,1.7763568394002505e-15,0.004830917874398821,0.0,0.0,1.7763568394002505e-15,0.004617789144644391,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,6.767113278360881e-05,0.021383757149998406,0.04331661723747704,0.0,0.019308295250701768,0.0,0.0,0.0,0.0,0.0,0.05039281381149063,0.0,0.08531072897215353,0.0864752516398033,0.07091403916334249,0.030197480329043014,0.03445523398206696,0.05710208074747358,0.0,0.10211414548393405,0.0,0.11723326998239036,0.0,0.0,0.0,2.661787758328205
bit_length,2.586908531275064,2.8687925892460786,1.2917367143641165,1.3066839651809317,0.9497041980029555,0.3808210718736933,0.7779565109258479,0.12969211466562802,0.004888711753968433,0.03824788187926664,0.07186691646448606,0.004210549833510324,0.0,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.004830917874398821,0.009019268533715596,1.7763568394002505e-15,0.0,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.004830917874398821,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.034082235386036164,0.037556624374198044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021985814669533088,0.0,0.061494039714506954,0.11143956649194076,0.06535599799295477,0.010406739120883746,0.02925675723459298,0.06866289346266363,0.0,0.10237948768558525,0.0,0.09267120757685898,0.0,0.0,0.0,2.8359423477001853
popcount,1.3229383227396374,1.3173353508323185,2.6538167438354505,2.592188034380654,1.0353257260897202,0.35707209059634737,0.8447393866571011,0.18332546549522366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10454404718061161,0.0,0.1052798624807103,0.07180918968876737,0.0,0.029818777435375754,0.1693309716252589,0.010432716098915051,0.027176561141071254,0.0,0.08640386461952865,0.20188246350816996,0.040643244356950436,0.02196292845696446,0.012484904359528315,0.05183111938674001,0.0,0.30868807249619223,0.08186432182740067,0.04660971232841815,0.0,0.0,0.0,1.3216214833793196
entropy,1.3156067251906496,1.3140051061977254,2.592188034380654,2.8178264056711995,1.0318699457152252,0.4159598472218011,0.854735308877919,0.2407954923634259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003425215440501006,0.0,0.0,0.0,0.0,0.0,0.008256133314897163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277385751736677,0.006028222010773909,0.11568096364266056,0.0722081264287473,0.0,0.015908020169629555,0.13597380019823957,0.03163799814615764,0.020773630320170877,0.0,0.09044647388998817,0.16780619862763535,0.03172726345718413,0.018851249946301163,0.0,0.03495231429788026,0.023180252315985417,0.254975727080327,0.023162857409604776,0.04718141422330335,0.02145935130823373,0.044131129125922985,0.0,1.3363221611234768
carry_count,1.0081024682938091,1.0031319557146006,1.0205615048037595,1.0138667733642261,2.724589690695354,0.5895008333154541,0.5572118824838701,0.11482429624048107,0.0,0.07592018283803759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04099406935533256,0.0,0.0,0.056643689222620086,0.0,0.0,0.0,0.13980086934322156,0.0,0.08782984108003689,0.04508599020490189,0.011945361636254148,0.039415692903369326,0.016473883720931504,0.03693361479796131,0.10542726134698155,0.09550808027972169,0.0,0.12652294261669006,0.0,0.1335756521475111,0.0,0.0,0.0,0.9911689589689949
carry_chain,0.35394621993297903,0.38358878120206175,0.35313841724165895,0.4134112467071862,0.5912996371117867,2.5300072200259276,0.12258339530704454,0.030617993518864406,0.023472503094932762,0.0,0.04259728566185439,0.0,0.004471395710825998,0.0,0.004398845341605284,0.0,0.005554694005137417,0.0,0.0,0.0,0.0,0.010238990445664342,6.193514899299757e-05,0.0,0.0,0.009168547779023761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01641064724457353,0.040210754399709,0.0,0.0,0.0873162994049852,0.0,0.0,0.13740481624577638,0.031388072252736876,0.0,0.03825128023785851,0.14475917247611214,0.04375136827577375,0.043968947780722356,0.022573033977848045,0.07670341723482466,0.0,0.05379280160537103,0.18577963149605692,0.058198065218902695,0.0,0.015394169074809838,0.130075105721839,0.0781957024290394,0.3816055084369383
borrow_count,0.8237084042716294,0.8105345410977667,0.8471712685007478,0.8406518823584301,0.5878144529063314,0.1357913787022187,2.706473748666369,0.4569419667479693,0.0,0.0,0.0,0.0,0.0,0.010793229209163702,0.023628974389101387,0.0,0.020235671727356852,0.00847196955818319,0.01971807338367082,0.018649139230074496,0.014630971824433736,0.020235671727356852,0.030276075536015412,0.014737619490558629,0.014630971824433736,0.0,0.014630971824433736,0.014630971824433736,0.004871837964794956,0.014630971824433736,0.014630971824433736,0.014630971824433736,0.014630971824433736,0.0,0.007368118054395634,0.0,0.0,0.011143734206386036,0.0029041594279015648,0.0,0.0,0.0019991017851066495,0.026378412987667854,0.13194625793370074,0.020317317401089774,0.041690943063920294,0.08173468029104347,0.05090672305224553,0.0686278762538497,0.05351790233535825,0.0,0.1179727587061441,0.08306467399438766,0.1422461340662422,0.22320662476056086,0.0,0.0,0.03886201852985893,0.7957199917179998
borrow_chain,0.14687804289206818,0.12304166561894414,0.20524926609549432,0.22196283122938665,0.12270856044771827,0.007877296433497882,0.44769012749197357,2.3873973741552117,0.07803251358895613,0.010892190702242122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021954329847888587,0.0255839748255533,0.08002335478234812,0.0,0.10614913972063622,0.1397674486935565,0.0,0.0,0.0,0.0889286661786004,0.0,0.11951605861066206,0.0,0.06003851304485952,0.059683025932020684,0.0,0.0,0.0901334888113956,0.07192742716391631,0.11561520803640901,0.004928115438001424,0.10010301699274304,0.06754986258243756,0.12538775465574936,0.05625448471060679,0.13321384631246413
v_2,0.00925109775385069,0.0,0.0,0.0,0.019230409704090068,0.0,0.0,0.0338786116771983,1.2028303136908889,0.11310056478169317,0.06436903640239411,0.05036708266459966,0.029432627254815547,0.0,0.0,0.0,0.023654673640435053,0.0,0.004558048325994157,0.0,0.013043936087592023,0.0,0.028803333565710965,0.0,0.013043936087592023,0.004777379367947532,0.013043936087592023,0.013043936087592023,0.03206763494186893,0.013043936087592023,0.013043936087592023,0.013043936087592023,0.013043936087592023,0.6818234347906995,0.05995212586973153,0.15988171038051746,0.03430079242052386,0.15835200644412528,0.06946196811937,0.2218706105971573,0.03744087077356539,0.0,0.0,0.0,0.0,0.10162816503819783,0.0,0.027072159929108608,0.015851504555131957,0.0031990561104420223,0.03037116220370706,0.032437377678218304,0.0,0.0,0.010374964115076324,0.06864081104795394,0.019253651874123534,0.0,0.0
v_3,0.0,0.007030793814353009,0.0,0.013216177507992866,0.07209233417000149,0.0,0.007775345548058699,0.0,0.05153484598756641,1.0067673138484556,0.04830331751194539,0.06975005827388925,0.018037515784436575,0.0,0.0,0.03169136974708486,0.0159444897956722,0.010859798321237513,0.0023985683709142336,0.012698440522385557,0.006411517362012731,0.0,0.0,0.0,0.006411517362012731,0.002353099092437194,0.006411517362012731,0.006411517362012731,0.027683524861302544,0.006411517362012731,0.006411517362012731,0.006411517362012731,0.006411517362012731,0.04787407456324244,0.6974343935098508,0.055018302329223,0.0606878566006519,0.033953622587473475,0.0,0.1347188925535001,0.0,0.0,0.07779094539998876,0.020646525597387777,0.0,0.060606473431826124,0.09938272570265094,0.015300562258146577,0.0,0.0,0.08663855497854156,0.00020517747430770505,0.0,0.0019319169299565342,0.011087152780292708,0.0,0.04059258668095378,0.020557257439150378,0.023445377620240793
