,state,bit_length,popcount,entropy,carry_count,carry_chain,borrow_count,borrow_chain,v_2,v_3,v_5,v_7,v_11,v_13,v_17,v_19,v_23,v_29,v_31,v_37,v_41,v_43,v_47,v_53,v_59,v_61,v_67,v_71,v_73,v_79,v_83,v_89,v_97,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97,target_log2
state,1.0,0.999228919017086,0.9684434020655294,0.9663242682039224,0.9260721823347609,0.5601955983386614,0.8234667031740399,0.5019498597851737,0.13852807208999712,0.025361313903604934,0.23251233433732038,0.16583292117436144,-0.05479932383012813,-0.05293578942641552,-0.16482320094741099,0.09823815599917197,0.07306576510683749,0.09976141109974873,-0.048710510071225004,-0.18911693519349318,,0.1278650889369656,-0.03568244060254588,0.10843631641277036,,-0.09542395844323791,,,0.11568746141915937,,,,,-0.017690471087956305,0.0634976291999895,-0.24570222109583006,-0.13486657073841254,0.30144943054963946,-0.032132061138530184,0.13322945999615246,-0.11752313970000165,0.16241861310942873,0.0608719632048029,-0.10902698834040868,0.06729284966877859,0.1794547282982282,-0.007570711708988824,0.1927185643589771,0.0427662229136792,0.14221131271902893,0.1343175496349836,0.06680943776656233,0.31702489007244317,0.09476576710663785,0.22574482726019332,0.22421031632494193,0.24685489993031892,0.10804394865687084,0.9992841018912779
bit_length,0.999228919017086,1.0,0.9681859239062935,0.9658618710947903,0.9263662211160882,0.5656523945221092,0.8174708129725372,0.49544838926966667,0.1495289213990682,0.016655717541756224,0.2281428782426812,0.16532214450580374,-0.054459967771439605,-0.05871229549142791,-0.16394155080843534,0.10637148701357067,0.07281824722987643,0.10374621803068157,-0.04839910039042448,-0.18454263258269707,,0.13342692104002687,-0.04601983640974366,0.10374621803068157,,-0.09917838092800382,,,0.12130518627799682,,,,,-0.03143298217771464,0.06917921712533297,-0.2416248909249331,-0.13346295304693578,0.30540588730053664,-0.030010001856926413,0.13026573663788613,-0.1149919716374014,0.17179542384279295,0.06312827451224598,-0.11202179721674067,0.07195356538561863,0.1761176976754617,-0.0005666138143134607,0.19254944297034535,0.041474088418330016,0.14447630600577988,0.13121985622810642,0.06134691864583018,0.3170730919141234,0.09418683092294002,0.22034748998607454,0.23005142069006693,0.24604444867278363,0.10999682290388084,0.9998835901710658
popcount,0.9684434020655294,0.9681859239062935,1.0,0.9914426709033958,0.9325005518838226,0.5814426260762446,0.8188870749611059,0.5263902820136283,0.08370906714260888,0.02899776640244358,0.21213960892559555,0.16437998548495086,-0.08027975791189627,-0.0482227927489676,-0.12288115622336034,0.13415088197246067,0.03910177863812188,0.030196472692801703,-0.032527143291888994,-0.2320896253765926,,0.11073070056813274,-0.02220516730339611,0.07271803628062447,,-0.05484665448284384,,,0.11073070056813275,,,,,0.03183663274758632,0.07004705477903729,-0.23241149100546935,-0.13131115688567838,0.31827441415637986,0.01335185579920005,0.1337827347074295,-0.13369035957992023,0.18675503903008212,0.0823819244064109,-0.16822402165602177,0.07661687613426268,0.14253250392746397,-0.036160510408817785,0.13770875901906393,0.03241428935469735,0.14372976107228674,0.12559115679665986,0.1163743171835499,0.3318096769288111,0.13916174082334734,0.2629164989478756,0.21844440783561417,0.2277851892943941,0.08758672092765274,0.9688868897509174
entropy,0.9663242682039224,0.9658618710947903,0.9914426709033958,1.0,0.9304523491828628,0.60745646581681,0.8251157704824941,0.5560147185743018,0.07542456068311904,0.04429075275354715,0.22311323365047456,0.1544939234107922,-0.068182665671796,-0.046656090313947046,-0.11078586244618809,0.11918811227058258,0.05133191488383874,0.046580977579282604,-0.016739408896019537,-0.24004684835335008,,0.11110614283035532,-0.015084572676475934,0.08744417792924686,,-0.03727984824012442,,,0.11110614283035532,,,,,0.030958226518316975,0.04573813252801748,-0.2307693825705686,-0.11237396388206261,0.32942679168278616,0.03886784834858051,0.13340260391631173,-0.11617904744114774,0.2066755474811905,0.08933239078465711,-0.15539164560758686,0.09976102660112297,0.17185313702988503,-0.0008222967512155658,0.1663486760536705,0.03420192191909664,0.15515030135046856,0.13238795236474651,0.15651594330562016,0.3852078800473252,0.16737830304736928,0.2699610941134858,0.2237332859957363,0.260123605130289,0.1119983923651403,0.9672394523967531
carry_count,0.9260721823347609,0.9263662211160882,0.9325005518838226,0.9304523491828628,1.0,0.7015974095687955,0.7068973389438549,0.43294481275923713,0.12165701611899361,0.002714869327440605,0.29513730720829556,0.18175368268685932,-0.06787134888266158,-0.0016568005709933335,-0.14447038946744498,0.10117919503963985,0.055074602911944916,0.14216255576988193,-0.04551753946546036,-0.2110249380507375,,0.1444898405807496,0.00512611185548353,0.08642837197373501,,-0.08873620567129806,,,0.09978222174634725,,,,,-0.002431585857348817,0.06467794753734686,-0.24151253332620204,-0.15429080921928778,0.20251772532355122,-0.011695590844222444,0.112432672635737,-0.11712420086854682,0.1225344666851187,0.049470790008565566,-0.1417098101263029,0.16487611782284836,0.1851549690149486,-0.03448163620225677,0.11132446862746931,0.0036542779856210145,0.1585736162628822,0.09347511026635862,0.17885730308845263,0.34093170323588023,0.16513249763794108,0.2255698267909691,0.23720806419886828,0.23661192334803025,0.15975698666606852,0.9260715540732652
carry_chain,0.5601955983386614,0.5656523945221092,0.5814426260762446,0.60745646581681,0.7015974095687955,1.0,0.40058232561786783,0.2574882671915663,0.1823147215365111,-0.015322765886699547,0.10448836466334409,0.05839318755726058,-0.04823000093482279,-0.08359982786120783,-0.1526316507219795,0.05174567333619002,0.1579212419989772,0.20401561281762595,-0.10713035605876566,-0.08479307522427346,,0.18737141956094858,0.1740884376285967,0.12009860963183638,,-0.11067314912908471,,,0.06957070931306289,,,,,-0.2175286120224728,0.1071303560587655,-0.1586330958099687,-0.03977330522992842,-0.016003645426833597,0.11573511994496526,0.10152611007941632,0.017553815583562667,0.08421509693885762,0.10667519705830865,-0.004804241543358004,0.1509327800183174,0.18179045686115117,-0.037443738482557797,-0.050196070872002965,0.07842647920525722,0.07334752162220648,0.03170575371158167,0.22296124103542195,0.40065119318481807,0.2471428925753328,0.10731529901933512,0.24477708504500456,0.2448400263251201,0.23859934864236207,0.5662634091917563
borrow_count,0.8234667031740399,0.8174708129725372,0.8188870749611059,0.8251157704824941,0.7068973389438549,0.40058232561786783,1.0,0.6883362078739845,0.07412764822695304,0.048358632988124824,0.19308571401046595,0.08475039721145351,-0.06459548673479025,-0.01217066746407636,-0.08407344913880892,0.02104543248084062,0.04711099408477179,0.043247659022021004,0.024769697920859403,-0.15938976205938027,,0.09179358641259665,-0.008823361828287099,0.05916279754212475,,0.0273325205019173,,,0.14764682682237767,,,,,0.015404488824828203,-0.007215822363499864,-0.153963189762832,-0.09696647212296343,0.36112326507736026,-0.08589533278888435,0.16363532898466038,-0.09414479420388526,0.17387623231134416,0.09437258389963077,-0.13803445739640116,-0.11668968567455888,0.283685589303403,-0.00783234863944385,0.20851061702672818,0.07606994021655798,-0.0015451897390335247,0.09394394567969268,0.06263241342554614,0.2883915209950236,0.12275163295999497,0.1807774515742868,0.05292097557437212,0.13927381139489386,0.11885257350442069,0.8198830771511031
borrow_chain,0.5019498597851737,0.49544838926966667,0.5263902820136283,0.5560147185743018,0.43294481275923713,0.2574882671915663,0.6883362078739845,1.0,0.08428983313834246,0.15060382209571652,0.0346947941029789,-0.07786004467728476,-0.08698700024611931,0.03207665720659399,-0.03391846188842286,0.01793903785734993,0.007783047390442251,0.1686138922722559,-0.02380696848841158,-0.09739333550914231,,0.19732314266356532,0.21732397179725962,0.07859951264528757,,0.16861389227225584,,,-0.0553969843672655,,,,,-0.0011084757976395974,0.019294109077146567,0.14080945298266537,-0.035340839215216156,0.43147407290559536,0.0764508535147788,0.26332432837897063,0.011179878420506254,0.20706494141763754,-0.02490247454053472,-0.09445666087056626,0.012989676666271852,0.11881812350023341,0.10306890177381593,0.1834783514462657,0.03339062859565436,0.09963205938996775,0.06724637243923082,0.04601268837002691,0.17977513995749797,0.3150751394145192,0.28125231773979503,-0.09065444794553607,0.07904956057908236,0.19507978579966195,0.4981830848037505
v_2,0.13852807208999712,0.1495289213990682,0.08370906714260888,0.07542456068311904,0.12165701611899361,0.1823147215365111,0.07412764822695304,0.08428983313834246,1.0,-0.0051424011877926334,0.061398784516583566,-0.10322156337723098,-0.07407610636824499,0.022729881908468114,-0.105538325550231,0.06488005580909319,-0.07407610636824499,0.13719982321530028,-0.074076106368245,0.21922565986722062,,-0.07407610636824498,0.11938030982868453,0.13719982321530028,,-0.04485378835884813,,,-0.07407610636824499,,,,,-0.7174036793289895,-0.011111415955236821,-0.025086641548818674,0.0375545872314025,-0.037752789924110394,-0.14430912358383713,0.26481947428319325,-0.09214507596974804,0.21214316834836752,0.2094513888241746,0.012920939008282319,-0.18149360096910347,-0.0007073113547357819,0.23015807001278682,0.01305957227950469,-0.05323842970038364,0.009085872904472762,-0.18396785716862582,-0.04059571453333656,-0.07131953368594901,0.10768758825278549,0.0626077697114343,-0.11121273705416765,0.0455371228992285,0.07814517743076567,0.14718344353397797
v_3,0.025361313903604934,0.016655717541756224,0.02899776640244358,0.04429075275354715,0.002714869327440605,-0.015322765886699547,0.048358632988124824,0.15060382209571652,-0.0051424011877926334,1.0,0.0354012261276429,-0.13994683916964748,-0.07146229116357165,0.008204296053423897,0.0415568771596562,-0.11832404039882662,0.029168282107580268,-0.10181434904115771,0.02916828210758026,0.051280702694847885,,-0.07146229116357164,-0.1256377216023773,0.04155687715965621,,0.041556877159656204,,,0.029168282107580257,,,,,0.11193491659598455,-0.6329517217344917,0.057877559673501146,0.11477941519886822,-0.05382135067154896,-0.020190514906902282,-0.09802525895756002,0.09556121609950774,0.060291470036041045,-0.041702222373101686,0.10781683001496116,-0.06444005361555466,0.10170316357547667,0.2323695823583902,0.04629454431591329,-0.1285478234838363,-0.25228032065534456,0.026518600810014722,-0.01106319449097788,-0.0053848635617320334,-0.09648485391012575,0.04292539488314918,-0.03551454445521379,0.20869899401044634,0.025631233112501917,0.019778215529650735
