,state,bit_length,popcount,entropy,carry_count,carry_chain,borrow_count,borrow_chain,v_2,v_3,v_5,v_7,v_11,v_13,v_17,v_19,v_23,v_29,v_31,v_37,v_41,v_43,v_47,v_53,v_59,v_61,v_67,v_71,v_73,v_79,v_83,v_89,v_97,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97,target_log2
state,1.0,0.9994061815602394,0.9710041942358106,0.9710041942358106,0.9259783097375904,0.6195650308091373,0.8250427371165024,0.5220134477165562,0.05085803393109179,0.08363308787848414,0.21911002292531412,0.1865508139488375,-0.05479932383012813,-0.05293578942641549,-0.16482320094741096,0.09823815599917196,0.07306576510683752,0.09976141109974873,-0.048710510071225004,-0.18911693519349312,,0.12786508893696563,-0.03568244060254588,0.10843631641277036,,-0.09542395844323792,,,0.1156874614191594,,,,,-0.017690471087956423,0.04803935520745308,-0.24676848617177238,-0.13100731897106402,0.31306715190071477,-0.03329755266495297,0.11757848621758972,-0.12486301050931246,0.1682990204238775,0.07360042980314054,-0.11642519650588576,0.08179203768977965,0.15885908997805245,-0.0016640921443411112,0.19120042961636252,0.06210363437265039,0.1443451634806891,0.14150349589047645,0.068678160725725,0.3057733698502747,0.09834088819940419,0.22350147691687483,0.22698989937355685,0.24585807164353418,0.11035781452990172,0.99923273657289
bit_length,0.9994061815602394,1.0,0.9704859387693476,0.9704859387693476,0.9265386119680574,0.6241231986735974,0.8209006908627284,0.51798397618527,0.0590700473159787,0.07849511035460896,0.21565412138900616,0.18547074090417562,-0.054810839922265375,-0.0607332247634187,-0.16485783858590353,0.10246989223488037,0.07308111989635384,0.1019515580728614,-0.048720746597569226,-0.18380318727504188,,0.13398205314331538,-0.04461242409588395,0.1019515580728614,,-0.09978237598620476,,,0.12180186649392306,,,,,-0.026541283117576094,0.05238129946620642,-0.24333646288544974,-0.13066506086004953,0.3151189870802271,-0.03146958871328671,0.11491041192169046,-0.11795706377286666,0.17467782141783805,0.07555604739439511,-0.11697091590681631,0.08590608897104468,0.1566063831794819,0.0050664878404976625,0.19177081862968176,0.06337803075808715,0.1467972919876466,0.14400087933397268,0.06786089760955015,0.3057096703169707,0.09692688677494778,0.21604504131274668,0.23656985392481605,0.24752756600997608,0.11479514982179077,0.9997898938940987
popcount,0.9710041942358106,0.9704859387693476,1.0,1.0,0.9353788183949222,0.635737975830739,0.8283628518426499,0.5666587647229435,0.005590372280210071,0.08582662306784658,0.21389162793508648,0.17424663466154822,-0.09140403536511132,-0.048302942879844386,-0.11937375677201269,0.1292145470357743,0.048748818861392706,0.039067774943567786,-0.018280807073022265,-0.23926037249826163,,0.11882524597464472,-0.017855251678974747,0.07596511794582625,,-0.06294252629797033,,,0.11882524597464472,,,,,0.025081210535868714,0.048096616363273774,-0.24442565888799808,-0.12155503877381356,0.3198085281785454,0.004966430643142297,0.12392108083634716,-0.14791383004982261,0.1922993619983414,0.09077260834493053,-0.1728719293388408,0.09128091711661863,0.13360294361810307,-0.023315612370378897,0.1450406141640855,0.047217956905047154,0.1483997973175092,0.12946147978276382,0.1367693431368645,0.3234627278640951,0.1396726931930217,0.24930960378285785,0.21765810615313277,0.2420091030577873,0.08953163941712405,0.971826908715685
entropy,0.9710041942358106,0.9704859387693476,1.0,1.0,0.9353788183949222,0.635737975830739,0.8283628518426499,0.5666587647229435,0.005590372280210071,0.08582662306784658,0.21389162793508648,0.17424663466154822,-0.09140403536511132,-0.048302942879844386,-0.11937375677201269,0.1292145470357743,0.048748818861392706,0.039067774943567786,-0.018280807073022265,-0.23926037249826163,,0.11882524597464472,-0.017855251678974747,0.07596511794582625,,-0.06294252629797033,,,0.11882524597464472,,,,,0.025081210535868714,0.048096616363273774,-0.24442565888799808,-0.12155503877381356,0.3198085281785454,0.004966430643142297,0.12392108083634716,-0.14791383004982261,0.1922993619983414,0.09077260834493053,-0.1728719293388408,0.09128091711661863,0.13360294361810307,-0.023315612370378897,0.1450406141640855,0.047217956905047154,0.1483997973175092,0.12946147978276382,0.1367693431368645,0.3234627278640951,0.1396726931930217,0.24930960378285785,0.21765810615313277,0.2420091030577873,0.08953163941712405,0.971826908715685
carry_count,0.9259783097375904,0.9265386119680574,0.9353788183949222,0.9353788183949222,1.0,0.7628785542299432,0.7183172031425913,0.45865923050308544,0.047848908814592375,0.06097517658159439,0.2693413210172832,0.17713553258871145,-0.07007258088107407,-0.020254961040737655,-0.14758127138211655,0.09831002005852604,0.06397931297837198,0.16928439952654545,-0.0517927771729678,-0.22139296872285252,,0.1492850636162013,0.026781407506796678,0.10417501509325874,,-0.09766407664993007,,,0.11881872410269083,,,,,-0.012539916961159891,0.06451488466412206,-0.2426459058570254,-0.1585003286033176,0.19967387130460634,-0.01084109549397917,0.09065847987347526,-0.10872806044296003,0.14285201076143353,0.05470963042546551,-0.1482044048103857,0.16391418151488207,0.17126258292205634,-0.021603272927567717,0.09702379943078937,0.020777321312330878,0.14549312773157733,0.09808978394217292,0.19479143076908859,0.3570331390450235,0.16346366975747786,0.20598026249821863,0.24280138135225063,0.2431023688817151,0.14162796947417905,0.9257589312511469
carry_chain,0.6195650308091373,0.6241231986735974,0.635737975830739,0.635737975830739,0.7628785542299432,1.0,0.4614173797837534,0.28933962379319356,0.2045374183425388,0.06545003703103332,0.14578822319294915,0.03665987455029146,-0.039714283889367465,-0.08436550798149059,-0.17627489298392757,0.05633040090885754,0.15885713555746986,0.21544709142480037,-0.12830768641180257,-0.08414399018262247,,0.18024174995943695,0.11457905046144337,0.15233632727006086,,-0.11316412882918807,,,0.09164834743700184,,,,,-0.2159790849430846,0.0885983734967602,-0.18816646641408785,-0.06787287172522832,0.02116108675559734,0.10578882298267459,0.04691852388631679,0.015792819849382196,0.11784058746025167,0.10994728250139711,-0.044193609043792575,0.14471870231612705,0.19260999964018233,-0.015597521495596676,-0.03853753397788509,0.08406042210384869,0.06082418289856899,0.00117364991890696,0.1680627031607378,0.44709853180356923,0.23605033809645143,0.12481836175244468,0.24162992878842596,0.21357796345615904,0.24726206651564397,0.625687722101233
borrow_count,0.8250427371165024,0.8209006908627284,0.8283628518426499,0.8283628518426499,0.7183172031425913,0.4614173797837534,1.0,0.7313392742228725,0.010800819462913962,0.1127257036625501,0.19130351755389177,0.0847815549685526,-0.07007386288809744,-0.012464819454570881,-0.08247339580631688,-0.0028089091051785244,0.057887104124950066,0.05208846050925276,0.04570034536180268,-0.15890592507048942,,0.09140069072360536,0.00535637949675807,0.07379198572144141,,0.023873877733407517,,,0.14928779484855542,,,,,0.01991670308072211,-0.02826473740991025,-0.13288174055859417,-0.07468225177207387,0.3829337458664325,-0.06809544257232103,0.145736195561922,-0.08092220432024594,0.17332502659619117,0.10730609019558127,-0.14746598919310897,-0.08561390214555566,0.25864151570344307,0.017184112164472857,0.23454249693218535,0.0722372639484623,0.030110459723240567,0.09399490405213631,0.08553715046044004,0.3073286434740427,0.1366412685037379,0.1760913826169252,0.05350268795710892,0.1638545247699587,0.14419086515375268,0.8218616908655714
borrow_chain,0.5220134477165562,0.51798397618527,0.5666587647229435,0.5666587647229435,0.45865923050308544,0.28933962379319356,0.7313392742228725,1.0,0.06175751532095737,0.03194333892751021,0.039891832671319946,-0.06943319460668972,-0.09786631118921216,0.017204565469681507,-0.021786391213614267,0.025376703943505673,0.027524900021965917,0.15686201673802272,-0.02446657779730304,-0.0914061207609764,,0.17738268903044702,0.19177362591028382,0.037036865063144256,,0.18518432531572127,,,-0.058108122268594714,,,,,-0.01258802578522283,0.05164175126137028,0.09477671038698142,-0.004103986712809884,0.4702788514920991,0.02988361855000605,0.2846096749634186,-0.010981659874330226,0.1993884097538901,0.012932513251271958,-0.14206818874027993,0.024045417515002124,0.09217294445187232,0.12765529567884534,0.16112395127710208,0.08195014511978418,0.17061347833426466,0.05487371600079349,0.08736915409198792,0.18296970557359338,0.33031084279873457,0.315920277746694,-0.08744019111045216,0.05540199926381427,0.2428909185437459,0.5182880573180166
v_2,0.05085803393109179,0.0590700473159787,0.005590372280210071,0.005590372280210071,0.047848908814592375,0.2045374183425388,0.010800819462913962,0.06175751532095737,1.0,-0.039777480113356196,0.024412065504828204,-0.06204605656498134,-0.09906911618044742,0.043676525407664334,-0.14114657408489042,0.16692662900492586,-0.09906911618044742,0.20198561463872253,-0.09906911618044742,0.27227079551056854,,-0.09906911618044742,0.1501493357595047,0.20198561463872253,,-0.00730068486645985,,,-0.09906911618044742,,,,,-0.9594530806250842,0.07599875032577214,-0.056573118617385884,-0.03120778277388376,-0.029604883601829602,-0.1240619039889948,0.3330886700253776,-0.13626842140779544,0.13311989794663653,0.16214759814488525,0.07175387473283426,-0.1482065305105124,-0.018722452062198334,0.11704506064012178,0.054252586945592936,-0.08820651839428693,0.003947284713727404,-0.2085632617848956,-0.19482556228203493,-0.018774730209697423,0.11683920187304575,0.09525269117454098,-0.13593634405152208,-0.010356823770792676,0.06341403179816991,0.057335719832835044
v_3,0.08363308787848414,0.07849511035460896,0.08582662306784658,0.08582662306784658,0.06097517658159439,0.06545003703103332,0.1127257036625501,0.03194333892751021,-0.039777480113356196,1.0,0.07271243602876144,-0.14395143109219974,-0.09678835921030732,0.04773057242220739,0.06402366056828118,-0.1322582146376652,0.10024508632496115,-0.13789711507014407,0.10024508632496115,0.11141653474310871,,-0.09678835921030732,-0.1701634348803842,0.06402366056828118,,0.14282201203693493,,,0.10024508632496115,,,,,0.05021596447364057,-0.8753372272573099,-0.07137992461525425,0.17046364729874378,0.013965689438270548,-0.07692675170641823,-0.023924444408698307,0.08396447951141783,0.0562367285368428,0.06024538705800169,0.027375033890483604,-0.04315434807839983,0.15501428775390982,0.21648954481553961,0.028911504844086736,-0.12294411560353623,-0.20905431298048124,-0.17473663946057572,0.050433592731680334,-0.008539058748139806,0.006628628765230066,0.05815163945362697,-0.10218202708445126,0.30256419846012533,0.16816154543744977,0.0760621362228178
