cycle,length
68->67->66,3
65->69->67,3
24->26->25,3
52->50->51,3
55->53->54,3
59->64->53,3
63->61->64,3
63->62->61,3
63->60->61,3
55->39->53,3
33->34->36,3
29->33->36,3
16->17->18,3
14->15->16,3
11->13->15,3
14->13->15,3
11->12->13,3
6->8->7,3
5->6->7,3
3->4->10,3
30->37->39,3
40->37->39,3
52->49->50,3
46->41->42,3
46->43->42,3
24->22->26,3
21->23->22,3
24->23->22,3
24->21->25,3
68->14->67,3
63->64->53->54,4
37->36->38->39,4
33->32->31->36,4
34->32->31->36,4
9->12->13->15,4
9->10->11->15,4
9->8->7->10,4
4->5->7->10,4
57->40->39->53,4
56->57->53->54,4
24->28->27->26,4
21->22->26->25,4
46->45->50->51->42,5
49->48->44->45->50,5
30->39->53->54->47,5
30->31->36->38->39,5
30->29->36->38->39,5
3->2->5->7->10,5
35->56->54->47->48,5
43->44->45->50->51->42,6
58->57->53->54->47->48,6
59->21->25->69->67->66,6
1->3->10->11->15->16->18,7
52->53->54->47->48->44->45->50,8
58->60->61->64->53->54->47->48,8
35->36->38->39->53->54->47->48,8
43->62->61->64->53->54->47->48->44,9
1->2->5->7->10->11->15->16->18,9
68->45->50->51->42->27->26->25->69->67,10
41->38->39->53->54->47->48->44->45->50->51->42,12
41->40->39->53->54->47->48->44->45->50->51->42,12
59->58->48->44->45->50->51->42->27->26->25->69->67->66,14
65->64->53->54->47->48->44->45->50->51->42->27->26->25->69,15
28->29->36->38->39->53->54->47->48->44->45->50->51->42->27,15
59->53->54->47->48->44->45->50->51->42->27->26->25->69->67->66,16
28->32->31->36->38->39->53->54->47->48->44->45->50->51->42->27,16
22->20->19->29->36->38->39->53->54->47->48->44->45->50->51->42->27->26,18
21->20->19->29->36->38->39->53->54->47->48->44->45->50->51->42->27->26->25,19
14->17->18->19->29->36->38->39->53->54->47->48->44->45->50->51->42->27->26->25->69->67,22
14->16->18->19->29->36->38->39->53->54->47->48->44->45->50->51->42->27->26->25->69->67,22
21->12->13->15->16->18->19->29->36->38->39->53->54->47->48->44->45->50->51->42->27->26->25,23
24->3->10->11->15->16->18->19->29->36->38->39->53->54->47->48->44->45->50->51->42->27->26,23
