state,spec1,spec2,spec3,rw1,rw2,rw3,pca1,pca2,pca3,tsne1,tsne2,umap1,umap2,cluster
1,-0.16099274631079857,0.10695947963455775,0.029480996501123215,0.013301469356543668,0.006660003387255938,0.001901122608945543,-120.1651671209026,-37.34882795988082,-9.109816390473004,-11.750838,-2.8275428,8.571469,5.76225,1
2,-0.17839790952834117,0.13956140228944705,0.026229317539954302,0.014591986925132775,0.008135828331359046,0.0018947911607746172,-114.55141324983168,-33.876546951123096,-8.544043832164727,-11.930413,-2.0746229,8.423117,5.866765,1
3,-0.18050847970527836,-0.03303411160872063,0.12903547254252723,0.013881410779887077,-0.002319687246997925,0.007258102854173887,-122.21698233352967,-39.57521282007428,-9.384118685237281,-12.3597555,-2.5866485,8.486419,5.9659295,1
4,-0.19625977412449314,0.028064842426085413,0.11283151862488844,0.015898316695171083,0.0019668953876735462,0.005922618934363133,-92.29833826652919,-15.999687343609851,-6.597844009619825,-10.945205,-1.9462339,8.746217,6.0172048,1
5,-0.21636034431256154,0.1253763868745581,0.0035589616468389754,0.017310287300167544,0.007622822898986947,-6.005578533041995e-06,-61.28145327681789,16.658767013040663,-5.014222409392435,-8.809431,-0.7733529,9.098716,5.1091156,1
6,-0.1961536431681467,0.06734267683787978,0.0030586151300753483,0.015767475087353457,0.004049317340563085,-5.283308173103434e-05,-62.32493399114816,13.467792894064585,-5.050707284996669,-8.879701,-0.8475682,9.504997,5.498483,1
7,-0.23462597662006793,0.1289538101918409,-0.016028813345765835,0.018744195133154583,0.007707585592984713,-0.0008937853333681197,-36.15362969074773,39.03598738792447,11.41467198867153,-9.570309,4.544577,8.794447,4.649619,1
8,-0.19103575047300891,0.06265113861666892,-0.02547984665761767,0.015029845899017463,0.0035918509278325254,-0.0011513381805361002,-26.0015044858658,55.3083681068369,-32.53894465901691,-10.185604,2.153392,8.631203,4.432029,1
9,-0.06673711830416504,0.06358257659321087,0.10910333542469904,0.005314622727777788,0.0034069096082944205,0.006421637259644958,-28.40825565874372,46.08362240685382,-7.213274442724096,-6.826117,2.033565,9.303272,4.473864,4
10,-0.18225787028924179,-0.02323928219092973,0.18153708737038615,0.014366867408559218,-0.0014059342005573413,0.00962802663965259,-41.37639396530578,45.92712646422567,9.48409251678868,-9.0773,0.6621622,9.322411,5.259322,1
11,-0.20562450383433245,0.1348077920231023,0.041279605352749174,0.016396640937634724,0.008190455863324756,0.002048473707718574,-34.14379908932692,39.95629213991734,24.694826529261107,-7.906636,1.097163,9.388688,4.8657527,1
12,-0.07903242473213076,0.04096122543537539,0.11440124076268798,0.006258275025016693,0.00219071665751089,0.006011496762111809,-33.495100612295246,28.35470757546014,-43.78219666274813,-6.9630265,-0.2432502,9.749971,4.876188,4
13,-0.19006159409128764,0.11508676776480768,-0.007156130985942182,0.015477997501012936,0.006475580872342175,-0.0008988987813696301,-26.000602308710427,45.761624998151184,34.64595049746312,-6.7686114,6.3193197,9.575897,2.8948252,4
14,-0.032834579556980485,-0.16914782027344152,-0.0015837504391692028,0.0025046480417732493,-0.010221216788124774,-9.401078602571545e-06,-19.80465733332283,26.826727140793942,-19.12064893614816,-6.2482433,1.550398,9.682532,4.4259596,4
15,-0.19222093932862017,0.008812466480800024,0.09859467985553298,0.015335844962603368,0.0005655454356158813,0.005276901223338225,-6.7549870275564965,55.610421805049796,-33.954919660777854,-7.794468,3.1725764,9.247889,4.213392,4
16,-0.15690175375008739,-0.04521950692789439,0.02931016670660125,0.011813080433437732,-0.002659790565748215,0.0010818994464866147,-6.617583971035526,49.888446443087155,28.5381967474815,-8.975745,5.8342786,9.342716,2.5580091,4
17,-0.03334741808584449,0.0568216021968077,-0.04082028216126707,0.00276804181382534,0.0035142237516325916,-0.002402166162255152,-43.68228492691928,-14.618205969724771,15.794251828418037,-4.6452417,-4.319281,10.231654,5.74691,4
18,-0.16019823730409427,0.041223701486065,0.024283205276089282,0.012489598614876403,0.0020107290365575796,0.001233860329014917,-44.563231575590855,-8.663141977257213,67.15688670709608,-7.907209,-5.283696,9.327202,6.0588393,1
19,-0.000609620063965538,-0.07270592851789309,-0.12692628154838195,-0.0001846028074189777,-0.004831542892885167,-0.007033398806030269,-2.34213482544338,35.86648964853392,-46.924928255730485,-3.7148044,2.339686,10.247591,3.717489,5
20,-0.035588432684519306,-0.1303565056537133,-0.10294168055766928,0.0028605906740562168,-0.00804582959671203,-0.005039532612407206,-15.143403141277641,21.616192991668715,35.440582592602766,-6.2389884,5.2773256,9.545243,2.9793742,5
21,-0.008306926619958098,-0.10729673603725425,0.09808335044728794,0.0008203011671034278,-0.0064965975539064535,0.005725281275463569,-19.574012037962547,14.197060998656752,12.48312204500644,-4.9169536,-0.36163035,10.084296,4.7053537,7
22,-0.07262837855950476,-0.18406334299827748,0.08865032327055417,0.005688943402204475,-0.010674181302492218,0.0046558525070607235,-36.21599559488298,-0.7860907524834567,-10.416306375081122,-10.002552,3.4731324,8.615058,4.89186,7
23,-0.056272982388380154,-0.02647235817521018,-0.04317038122226486,0.0047224615474333095,-0.0015744070839958351,-0.0022424388913437213,-43.52483777917635,-22.553035237446117,44.461058407560984,-7.7272463,-5.0014052,9.33613,5.9300323,7
24,-0.13933924386262025,-0.1477367334668918,0.058290637697161765,0.010482928506005006,-0.008736710552936993,0.0036242652390289774,10.29880198550738,39.364658147433055,-36.60159900392593,-2.6278152,2.3678675,10.516228,3.4091237,7
25,-0.013006641514524445,-0.08553348154169695,0.0796696381723404,0.0011961135298902519,-0.005068934543148008,0.004130240221749698,-11.714136158770362,21.8941985562779,28.732260997897455,-5.964044,3.7918928,9.529312,3.9339304,7
26,-0.1422996860887897,-0.09506126694927061,0.005253548788281717,0.011426575452466755,-0.005786735911807786,4.334327944695675e-05,-6.695350528183862,25.931324605552597,17.056846837299283,-4.171139,4.3467894,9.899539,3.6866071,7
27,-0.11097191753726174,-0.09269811390827284,-0.10362511181534083,0.008653739518202612,-0.005466137842210874,-0.00578443193461458,4.661049914922135,27.921425346386638,-22.746462023785664,-5.0440655,1.7370919,10.201121,4.3610373,5
28,-0.09449669285402305,-0.05338731897378917,-0.10815427900582986,0.0071754672065669715,-0.003387532279872834,-0.005940982555347154,-17.76375097382514,-5.543096692224932,-32.990309511244995,-7.15553,-1.7444661,9.982584,5.295127,5
