expression,stability,predictive,uniqueness,score
log1p(state),0.8033366685223987,0.9235620006631146,1.0,0.8809263011003253
sqrt(state),0.7442648412255697,0.9820037969717353,1.0,0.8777206973402006
log1p(bit_length),0.8013349367997845,0.9246371549730475,0.7536231884057971,0.8434990618099916
sqrt(bit_length),0.742667442898449,0.9826078951884593,0.7536231884057971,0.8402869856405553
"add(state,entropy)",0.6378463412499494,0.9992945844050944,1.0,0.836748687324515
"ratio(state,entropy)",0.8027925157675823,0.8135401361026198,1.0,0.83667268653646
"sub(state,v_41)",0.6373313100681884,0.9992841018912779,1.0,0.836512730287196
"add(state,v_41)",0.6373313100681884,0.9992841018912779,1.0,0.836512730287196
abs(state),0.6373313100681884,0.9992841018912779,1.0,0.836512730287196
id(state),0.6373313100681884,0.9992841018912779,1.0,0.836512730287196
"ratio(state,v_41)",0.6373313100681884,0.9992841018912776,1.0,0.8365127302871959
"sub(state,entropy)",0.636805985479235,0.9992693790507352,1.0,0.8362704450859498
"add(state,v_11)",0.6374988499414603,0.9992785517223778,0.9855072463768116,0.83441199011913
"add(state,v_31)",0.6374904016212725,0.9992788661004773,0.9855072463768116,0.8344083141262854
"sub(state,v_43)",0.6374088904099643,0.999233821394931,0.9855072463768116,0.8343536161989782
"sub(state,v_23)",0.6373327998243196,0.9992826132543692,0.9855072463768116,0.8343388921792132
"add(state,v_23)",0.6373215470031532,0.9992498168858618,0.9855072463768116,0.8343207098622855
"add(state,v_43)",0.637245631804131,0.9992989405527968,0.9855072463768116,0.8343061974894994
"add(bit_length,entropy)",0.6366969177871526,0.9998931021847296,0.9855072463768116,0.8342969408346324
"sub(state,v_31)",0.6371638642042106,0.9992534503832612,0.9855072463768116,0.8342512060017211
"sub(state,v_11)",0.637155423012645,0.9992537881505977,0.9855072463768116,0.8342475425724512
"sub(bit_length,entropy)",0.635635523239117,0.9998698338763776,0.9855072463768116,0.8338100059646756
"add(state,v_17)",0.6378356341067659,0.9992615618708768,0.9710144927536232,0.8323828340094388
"sub(state,v_53)",0.6373429138501013,0.9992836462853957,0.9710144927536232,0.8321699436597474
"add(state,v_29)",0.6373203926277133,0.999286547652291,0.9710144927536232,0.8321609696564309
"sub(state,v_29)",0.6373259954092916,0.99921139843053,0.9710144927536232,0.8321334312194366
"add(state,v_53)",0.6373035329695124,0.9992145540853798,0.9710144927536232,0.832124585383476
"sub(state,v_17)",0.6368110066489641,0.9992377008369616,0.9710144927536232,0.8319122072398619
"ratio(bit_length,entropy)",0.7975751954848497,0.8110431485364316,0.9855072463768116,0.8311521843392768
"add(state,v_37)",0.6380542428256158,0.9992789167704886,0.9565217391304348,0.830314236849288
"add(state,v_47)",0.6376905417357027,0.9991417678829486,0.9565217391304348,0.830095711803811
"sub(state,v_47)",0.6369473869279486,0.9993217433550885,0.9565217391304348,0.8298332823291776
"sub(state,v_37)",0.6365848799711137,0.999188448132018,0.9565217391304348,0.8296168361093736
"ratio(popcount,entropy)",0.8389554833713068,0.9595920706609192,0.4492753623188406,0.8287581001292819
"ratio(state,v_11)",0.6301064431122532,0.9872571003670608,1.0,0.8284507395473383
"ratio(state,v_17)",0.6273010052797683,0.9900895474700825,1.0,0.8283212713639289
"ratio(state,v_31)",0.629942503772357,0.986311596557954,1.0,0.8279987653207422
"add(state,v_13)",0.6378414042188632,0.9991494176257206,0.9420289855072463,0.8279927467748636
"add(state,v_19)",0.6374946211562201,0.9992954938094084,0.9420289855072463,0.8278951248701494
"sub(state,v_19)",0.6371285616435084,0.9991047984193826,0.9420289855072463,0.8276541199334188
"sub(state,v_13)",0.6367886109594312,0.9992815290372185,0.9420289855072463,0.8275718343727183
"add(state,bit_length)",0.6367955702544084,0.9997772803665398,0.927536231884058,0.8255993535437084
"ratio(state,v_37)",0.6226233624392604,0.9783625513378266,1.0,0.8215255336327979
"add(state,v_7)",0.637425872171509,0.9991135863052064,0.8985507246376812,0.8212696856949139
"sub(state,v_5)",0.6373227372829782,0.9991658357695573,0.8840579710144928,0.8190702617373371
"sub(state,v_7)",0.6371551083466892,0.9991057944076284,0.8840579710144928,0.8189708121712355
"ratio(state,v_23)",0.6283959116317229,0.9612171485660123,1.0,0.8172650196606802
"add(state,v_5)",0.6372503883053598,0.9990147751009302,0.8695652173913043,0.8168033673864797
"ratio(state,v_43)",0.6287890376350197,0.9419027259267404,1.0,0.8097161573064551
