state,value,bit_length,popcount,entropy,carry_count,carry_chain,borrow_count,borrow_chain,cofactor,x,y,v_2,v_3,v_5,v_7,v_11,v_13,v_17,v_19,v_23,v_29,v_31,v_37,v_41,v_43,v_47,v_53,v_59,v_61,v_67,v_71,v_73,v_79,v_83,v_89,v_97,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97,target_log2
1,2,2,1,0.03687450625387198,0,0,1,1,1,89565891926547004231252920425935692360644145829622209833684329913297188986597,12158399299693830322967808612713398636155367887041628176798871954788371653930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0
2,4,3,1,0.03687450625387198,0,0,2,2,1,103388573995635080359749164254216598308788835304023601477803095234286494993683,37057141145242123013015316630864329550140216928701153669873286428255828810018,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.0
3,1,1,1,0.03687450625387198,1,1,0,0,1,55066263022277343669578718895168534326250603453777594175500187360389116729240,32670510020758816978083085130507043184471273380659243275938904335757337482424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0
4,13,4,3,0.09198335195381277,3,3,4,4,1,109699032664856045668214896063362497021339186688470416858630178803463338613416,4835088675770141268294878046681321747490758260515711581034896622314066275713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,3.700439718141092
5,28,5,3,0.09198335195381277,2,2,2,2,1,38862517885349586199469132990077977525522399615397327331631717567532241615208,56796032415390392137148811074183321813766115156763923072036584114852967736264,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,2,11,9,5,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4.807354922057604
6,27,5,4,0.11611507530476972,1,1,6,4,1,99023490166718961467148584643029653267652245207820783364668071358307234645801,75362751621984629832705305750958516370071248757681753180287377123479199292501,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,4.754887502163468
7,148,8,3,0.09198335195381277,4,4,3,3,1,107102038646057268894400709182185766605027441091438117970905818045598729025219,2112802716716561397916579912080045259470782930197091582866471640269026402267,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,5,12,15,10,3,24,0,25,19,7,42,30,26,14,6,2,69,65,59,51,7.20945336562895
8,243,8,6,0.16032872589902852,8,8,2,2,1,52753949709974084938802853863505491704044021408316307275656100602334598857705,92443812174239770895839439044230084834301254833704634745644285456431253084936,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,9,5,15,13,11,26,21,38,28,8,31,7,60,42,30,24,6,77,65,49,7.924812503605781
9,47,6,5,0.13880049798406022,4,4,6,6,1,54253141229701892740678441538472478126466317116121420289154985997987923385716,67647191893224491627918802490479062705030965032432110320079555712709270724822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,5,3,8,13,9,1,18,16,10,6,4,0,47,47,47,47,47,47,47,47,47,47,5.554588851677638
10,641,10,3,0.09198335195381277,4,4,4,3,641,86873507527155280204707749760213670634269435220809910075990879211382276569298,44914300940532370130207803998822433304686871227920696246848865033873748568829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,3,4,12,14,20,3,21,12,26,39,30,5,51,31,38,2,57,9,60,18,59,9.324180546618742
11,1528,11,7,0.18089075961189305,4,4,8,8,191,48590641795577791316493737599535458724623899343886987223684616292174692367897,22183536443737468619272883913583115584186738399382870633827666151261097711807,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,10,7,15,8,10,20,9,11,11,23,24,44,53,3,54,37,68,27,34,15,73,10.57742882803575
